,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,errors,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values,values
,Andalucia,Date,Aragon,Asturias,Baleares,Canarias,Cantabria,Castilla La Mancha,Castilla y Leon,Cataluna,C. Valenciana,Extremadura,Galicia,Madrid,Melilla,Murcia,Navarra,Pais Vasco,La Rioja,Andalucia,Date,Aragon,Asturias,Baleares,Canarias,Cantabria,Castilla La Mancha,Castilla y Leon,Cataluna,C. Valenciana,Extremadura,Galicia,Madrid,Melilla,Murcia,Navarra,Pais Vasco,La Rioja
0,0.0,2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2020-03-05,0.0,0.0,2.0,0.0,0.5,12.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0
1,0.0,2020-03-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.5,2020-03-06,1.0,0.0,2.5,0.0,0.0,2.0,0.0,0.0,13.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0
2,0.0,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.4142135623730951,0.0,0.0,0.0,0.0,0.0,0.0,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,1.5,9.0,0.0,2.5,0.0,1.5,6.0
3,0.0,2020-03-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2020-03-08,1.0,0.0,4.5,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,4.5,4.0,0.0
4,0.0,2020-03-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.8284271247461903,0.0,0.0,0.0,1.0,0.0,0.0,2020-03-09,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,16.0,2.0
5,0.0,2020-03-10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23606797749979,0.0,0.0,0.0,0.0,1.0,0.0,2020-03-10,1.0,0.0,7.0,2.5,0.0,2.0,0.0,12.0,0.0,0.0,0.0,72.5,0.0,1.5,0.0,0.0,1.0
6,0.0,2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.1622776601683795,0.0,0.0,0.0,0.0,1.0,9.0,2020-03-11,2.0,2.0,5.0,15.0,0.0,9.0,0.0,1.0,0.0,10.0,11.5,49.0,0.0,0.0,0.0,0.0,1.0
7,0.0,2020-03-12,1.4142135623730951,0.0,1.0,0.0,0.0,1.0,0.0,1.7320508075688772,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.23606797749979,0.0,32.5,2020-03-12,2.0,0.5,1.0,7.5,0.0,1.0,0.0,3.0,0.0,1.0,18.5,68.0,0.0,0.0,1.0,12.5,2.0
8,0.0,2020-03-13,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.7320508075688772,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.7320508075688772,1.0,10.5,2020-03-13,1.0,1.0,7.0,0.0,0.0,15.0,9.0,3.0,16.5,9.0,19.0,97.5,0.0,1.0,6.0,22.0,1.0
9,1.4142135623730951,2020-03-14,0.0,1.0,0.0,1.0,0.0,1.0,1.4142135623730951,2.0,1.7320508075688772,1.0,0.0,2.23606797749979,0.0,0.0,0.0,0.0,0.0,29.0,2020-03-14,1.0,6.0,4.0,1.0,1.5,31.5,2.0,26.0,3.0,6.0,0.0,116.5,0.0,6.0,0.5,0.0,0.0
10,2.0,2020-03-15,0.0,0.0,0.0,0.0,0.0,2.0,1.7320508075688772,1.4142135623730951,1.0,0.0,1.4142135623730951,11.269427669584644,0.0,0.0,0.0,3.0,0.0,4.0,2020-03-15,4.0,3.5,0.0,9.0,3.0,40.0,3.0,17.0,15.0,0.0,2.0,127.0,0.0,0.0,0.0,9.0,5.0
11,1.0,2020-03-16,2.0,0.0,0.0,0.0,0.0,2.6457513110645907,1.7320508075688772,2.23606797749979,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2020-03-16,4.0,0.0,13.0,0.0,4.0,23.5,17.0,24.0,4.25,8.0,0.0,165.0,0.0,0.0,1.0,9.0,1.0
12,2.0,2020-03-17,1.0,0.0,0.0,1.0,0.0,0.0,1.7320508075688772,1.7320508075688772,2.8284271247461903,1.0,1.0,11.916375287812984,0.0,0.0,1.0,3.605551275463989,1.0,22.0,2020-03-17,8.0,7.0,3.0,1.0,1.5,31.5,18.0,49.0,8.0,1.0,12.5,186.0,0.0,0.0,1.0,13.0,1.0
13,2.8284271247461903,2020-03-18,1.0,0.0,0.0,1.0,1.0,3.3166247903554,3.1622776601683795,3.1622776601683795,3.0,1.7320508075688772,0.0,5.916079783099616,0.0,0.0,1.0,2.0,0.0,19.0,2020-03-18,5.5,7.0,0.0,1.0,1.0,51.0,22.5,87.0,9.0,3.0,7.0,186.5,0.0,1.5,1.0,26.0,0.0
14,2.0,2020-03-19,1.4142135623730951,0.0,1.0,0.0,0.0,3.7416573867739413,2.6457513110645907,4.47213595499958,1.4142135623730951,1.4142135623730951,1.0,10.392304845413264,0.0,0.0,1.0,3.605551275463989,0.0,33.5,2020-03-19,2.0,5.0,1.0,21.5,0.0,58.0,36.0,77.5,2.0,2.0,9.0,265.0,0.0,6.0,9.0,13.0,3.5
15,2.6457513110645907,2020-03-20,1.4142135623730951,1.4142135623730951,0.0,1.0,0.0,0.0,3.7416573867739413,6.324555320336759,3.0,1.4142135623730951,1.0,11.40175425099138,0.0,0.0,1.0,4.242640687119285,1.4142135623730951,66.0,2020-03-20,2.0,12.0,5.0,7.5,3.0,81.0,44.0,123.5,26.0,15.0,1.0,339.0,0.0,1.5,1.0,18.0,13.0
16,3.1622776601683795,2020-03-21,2.23606797749979,1.7320508075688772,1.4142135623730951,1.7320508075688772,1.0,6.48074069840786,3.4641016151377544,7.0710678118654755,4.123105625617661,1.4142135623730951,2.0,13.2664991614216,0.0,1.0,2.0,3.7416573867739413,2.8284271247461903,48.0,2020-03-21,5.0,7.0,7.5,3.0,1.0,112.0,69.5,130.5,17.0,9.5,21.0,383.0,0.0,12.5,4.0,30.5,8.0
17,2.6457513110645907,2020-03-22,1.4142135623730951,2.23606797749979,0.0,1.4142135623730951,1.7320508075688772,5.291502622129181,4.358898943540674,6.244997998398398,4.358898943540674,1.4142135623730951,1.7320508075688772,14.730919862656235,0.0,0.0,2.23606797749979,3.4641016151377544,1.7320508075688772,26.0,2020-03-22,6.5,5.0,4.0,2.0,3.0,108.5,81.5,158.0,36.0,14.0,3.0,408.0,0.0,2.5,20.5,22.5,3.0
18,3.3166247903554,2020-03-23,2.8284271247461903,3.1622776601683795,2.449489742783178,1.4142135623730951,1.0,5.744562646538029,5.291502622129181,4.123105625617661,5.0,2.0,2.449489742783178,15.556349186104045,0.0,1.0,3.1622776601683795,4.795831523312719,2.0,53.0,2020-03-23,18.5,10.0,6.0,2.0,1.0,163.0,87.0,259.0,25.0,19.5,6.0,471.5,0.0,1.0,10.0,23.0,4.0
19,5.385164807134504,2020-03-24,2.23606797749979,2.0,0.0,2.23606797749979,1.7320508075688772,8.426149773176359,4.69041575982343,9.695359714832659,4.58257569495584,2.8284271247461903,1.4142135623730951,16.492422502470642,0.0,1.0,2.6457513110645907,3.605551275463989,2.8284271247461903,66.0,2020-03-24,19.0,9.0,0.0,5.0,10.0,214.0,97.0,293.0,49.0,25.5,10.5,539.5,0.0,15.0,15.0,30.5,8.0
20,5.0990195135927845,2020-03-25,1.7320508075688772,1.7320508075688772,1.7320508075688772,2.23606797749979,2.23606797749979,6.855654600401044,6.4031242374328485,9.591663046625438,5.291502622129181,3.605551275463989,2.6457513110645907,17.029386365926403,0.0,1.4142135623730951,1.4142135623730951,4.69041575982343,2.6457513110645907,71.0,2020-03-25,42.0,22.0,3.0,10.0,5.0,201.0,126.5,318.0,68.0,13.0,7.0,531.5,0.0,9.0,18.0,64.5,7.0
21,4.58257569495584,2020-03-26,2.8284271247461903,0.0,2.0,1.7320508075688772,1.7320508075688772,7.280109889280518,6.4031242374328485,10.770329614269007,4.898979485566356,4.358898943540674,2.23606797749979,16.278820596099706,1.0,1.7320508075688772,4.0,5.0,2.449489742783178,67.0,2020-03-26,19.0,9.0,17.0,8.0,3.0,235.0,117.0,335.5,60.5,19.0,5.0,524.5,1.0,3.0,28.5,37.0,11.5
22,3.1622776601683795,2020-03-27,3.1622776601683795,3.1622776601683795,2.23606797749979,1.7320508075688772,2.0,7.14142842854285,6.782329983125268,13.564659966250536,5.5677643628300215,3.3166247903554,3.3166247903554,17.944358444926362,0.0,2.6457513110645907,3.0,5.196152422706632,3.4641016151377544,75.0,2020-03-27,29.0,10.0,14.0,21.5,4.0,223.0,111.0,379.0,96.25,34.0,11.0,582.0,0.0,23.5,33.0,54.0,12.0
23,5.5677643628300215,2020-03-28,5.916079783099616,2.23606797749979,2.0,3.0,1.0,9.0,8.306623862918075,11.916375287812984,6.0,4.358898943540674,2.0,18.57417562100671,0.0,1.4142135623730951,3.4641016151377544,5.830951894845301,3.1622776601683795,31.0,2020-03-28,35.0,13.0,4.0,9.0,1.0,219.5,151.0,417.0,94.5,28.0,31.5,556.5,0.0,7.0,31.0,61.0,10.0
24,5.656854249492381,2020-03-29,3.3166247903554,1.7320508075688772,1.7320508075688772,1.7320508075688772,2.0,9.539392014169456,7.681145747868608,8.774964387392123,5.744562646538029,3.4641016151377544,3.605551275463989,18.027756377319946,0.0,1.7320508075688772,3.7416573867739413,4.898979485566356,1.7320508075688772,46.5,2020-03-29,21.0,15.0,3.0,3.0,4.0,171.0,153.0,421.0,33.0,21.0,13.0,524.0,0.0,10.0,30.0,56.0,7.0
25,5.385164807134504,2020-03-30,1.4142135623730951,3.4641016151377544,2.8284271247461903,1.0,1.0,9.1104335791443,7.874007874011811,8.888194417315589,6.557438524302,2.449489742783178,2.449489742783178,17.60681686165901,0.0,2.23606797749979,4.242640687119285,5.656854249492381,1.7320508075688772,50.5,2020-03-30,31.0,12.0,8.0,6.0,21.0,203.0,132.0,469.0,86.0,42.0,21.0,501.0,0.0,5.0,34.0,32.0,8.0
26,3.4641016151377544,2020-03-31,5.656854249492381,2.6457513110645907,2.23606797749979,3.872983346207417,3.1622776601683795,9.273618495495704,8.602325267042627,15.264337522473747,5.385164807134504,5.196152422706632,4.242640687119285,14.52583904633395,0.0,3.0,3.3166247903554,5.291502622129181,3.7416573867739413,67.5,2020-03-31,32.0,20.0,5.0,15.0,17.0,234.0,138.5,454.0,86.5,27.0,42.0,549.0,0.0,16.0,29.0,68.5,14.0
27,7.745966692414834,2020-04-01,5.5677643628300215,3.0,2.0,2.6457513110645907,4.123105625617661,8.12403840463596,8.306623862918075,15.556349186104045,7.483314773547883,4.358898943540674,4.358898943540674,16.186414056238647,0.0,1.7320508075688772,4.123105625617661,6.6332495807108,2.23606797749979,82.5,2020-04-01,31.0,9.0,4.0,19.0,17.0,238.0,171.5,403.0,74.0,32.5,31.5,570.0,0.0,3.0,17.0,44.0,5.0
