Andalucia,Date,Aragon,Asturias,Baleares,Canarias,Cantabria,Castilla La Mancha,Castilla y Leon,Cataluna,C. Valenciana,Extremadura,Galicia,Madrid,Melilla,Murcia,Navarra,Pais Vasco,La Rioja
0.0,2020-03-05,0.0,0.0,2.0,0.0,0.5,13.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0
1.5,2020-03-06,1.0,0.0,2.5,0.0,0.0,3.0,0.0,0.0,13.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0
0.0,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,1.5,9.0,0.0,2.5,0.0,1.5,6.0
0.0,2020-03-08,1.0,0.0,4.5,0.0,2.0,0.5,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,4.5,4.0,0.0
0.0,2020-03-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,16.0,2.0
0.0,2020-03-10,1.0,0.0,7.0,2.5,0.0,3.0,0.0,12.0,0.0,0.0,0.0,72.5,0.0,1.5,0.0,0.0,1.0
9.0,2020-03-11,2.0,2.0,5.0,15.0,0.0,10.0,0.0,1.0,0.0,10.0,11.5,49.0,0.0,0.0,0.0,0.0,1.0
32.5,2020-03-12,2.0,0.5,1.0,7.5,0.0,1.0,0.0,3.0,0.0,1.0,18.5,68.0,0.0,0.0,1.0,12.5,2.0
10.5,2020-03-13,1.0,1.0,7.0,0.0,0.0,16.0,8.0,3.0,16.5,9.0,19.0,97.5,0.0,1.0,6.0,22.0,1.0
29.0,2020-03-14,1.0,6.0,4.0,1.0,1.5,32.5,2.0,26.0,3.0,6.0,0.0,116.5,0.0,6.0,0.5,0.0,0.0
4.0,2020-03-15,4.0,3.5,0.0,9.0,3.0,41.0,3.0,17.0,15.0,0.0,2.0,127.0,0.0,0.0,0.0,9.0,5.0
1.0,2020-03-16,4.0,0.0,13.0,0.0,4.0,24.5,16.0,24.0,4.25,8.0,0.0,165.0,0.0,0.0,1.0,9.0,1.0
22.0,2020-03-17,8.0,7.0,3.0,1.0,1.5,32.5,17.0,49.0,8.0,1.0,12.5,186.0,0.0,0.0,1.0,13.0,1.0
19.0,2020-03-18,5.5,7.0,0.0,1.0,1.0,52.0,21.5,87.0,9.0,3.0,7.0,186.5,0.0,1.5,1.0,26.0,0.0
33.5,2020-03-19,2.0,5.0,1.0,21.5,0.0,59.0,35.0,77.5,2.0,2.0,9.0,265.0,0.0,6.0,9.0,13.0,3.5
66.0,2020-03-20,2.0,12.0,5.0,7.5,3.0,82.0,43.0,123.5,26.0,15.0,1.0,339.0,0.0,1.5,1.0,18.0,13.0
48.0,2020-03-21,5.0,7.0,7.5,3.0,1.0,113.0,68.5,130.5,17.0,9.5,21.0,383.0,0.0,12.5,4.0,30.5,8.0
26.0,2020-03-22,6.5,5.0,4.0,2.0,3.0,109.5,80.5,158.0,36.0,14.0,3.0,408.0,0.0,2.5,20.5,22.5,3.0
53.0,2020-03-23,18.5,10.0,6.0,2.0,1.0,164.0,86.0,259.0,25.0,19.5,6.0,472.5,0.0,1.0,10.0,23.0,4.0
66.0,2020-03-24,19.0,9.0,0.0,5.0,10.0,215.0,96.0,293.0,49.0,25.5,10.5,539.5,0.0,15.0,15.0,30.5,8.0
71.0,2020-03-25,42.0,22.0,3.0,10.0,5.0,202.0,125.5,318.0,68.0,13.0,7.0,531.5,0.0,9.0,18.0,64.5,7.0
67.0,2020-03-26,19.0,9.0,17.0,8.0,3.0,236.0,116.0,335.5,60.5,19.0,5.0,524.5,1.0,3.0,28.5,37.0,11.5
75.0,2020-03-27,29.0,10.0,14.0,21.5,4.0,224.0,110.0,379.0,96.25,34.0,11.0,582.0,0.0,23.5,33.0,54.0,12.0
31.0,2020-03-28,35.0,13.0,4.0,9.0,1.0,220.5,150.0,417.0,94.5,28.0,31.5,556.5,0.0,7.0,31.0,61.0,10.0
46.5,2020-03-29,21.0,15.0,3.0,3.0,4.0,172.0,152.0,421.0,33.0,21.0,13.0,524.0,0.0,10.0,30.0,56.0,7.0
50.5,2020-03-30,31.0,12.0,8.0,6.0,21.0,204.0,131.0,469.0,86.0,42.0,21.0,501.0,0.0,5.0,34.0,32.0,8.0
67.5,2020-03-31,32.0,20.0,5.0,15.0,17.0,235.0,137.5,454.0,86.5,27.0,42.0,549.0,0.0,16.0,29.0,68.5,14.0
82.5,2020-04-01,31.0,9.0,4.0,19.0,17.0,239.0,170.5,403.0,74.0,32.5,31.5,570.0,0.0,3.0,17.0,44.0,5.0
100.0,2020-04-02,31.0,6.0,12.0,6.0,6.0,195.0,121.5,404.5,64.5,29.0,28.5,546.75,0.0,5.0,27.0,43.0,11.0
51.0,2020-04-03,24.0,22.0,11.0,22.0,4.0,221.0,142.0,406.5,68.0,19.0,18.0,456.25,1.0,4.0,35.0,75.0,8.0
50.0,2020-04-04,27.0,3.0,2.0,5.0,4.0,180.0,129.0,375.5,60.0,8.0,21.0,392.0,0.0,13.0,20.0,61.0,19.0
44.0,2020-04-05,37.0,11.0,4.0,2.0,7.0,170.0,122.0,356.5,42.0,10.0,33.5,451.5,0.0,16.0,40.0,64.0,12.0
61.0,2020-04-06,35.0,6.0,6.0,5.0,9.0,177.0,104.5,368.0,52.5,30.0,16.0,397.5,0.0,9.0,24.0,57.0,7.0
