,Madrid,Castilla y Leon,Castilla La Mancha,Cataluna,C. Valenciana,Aragon,Pais Vasco,Navarra,La Rioja,Cantabria,Asturias,Galicia,Murcia,Andalucia,Extremadura,Canarias,Baleares
beta,"[1.5943737252469332, 1.5943737252469332, 1.5947416707501874, 1.5947416707501874]","[1.481876507063284, 1.481876507063284, 1.4765516932892901, 1.4765516932892901]","[1.5061186487127753, 1.5061186487127753, 1.5422078576301168, 1.5422078576301168]","[1.4759169084561186, 1.4759169084561186, 1.4761989878412387, 1.4761989878412387]","[1.5365420911169223, 1.5365420911169223, 1.5367777544092283, 1.5367777544092283]","[1.1023072327000634, 1.1023072327000634, 1.1220812085710872, 1.1220812085710872]","[1.4756938934576005, 1.4756938934576005, 1.47564795303488, 1.47564795303488]","[1.3262784091582356, 1.3262784091582356, 1.327172924310554, 1.327172924310554]","[1.1046493858503248, 1.1046493858503248, 1.1096179455667334, 1.1096179455667334]","[1.3260797824094976, 1.3260797824094976, 1.2596804171096934, 1.2596804171096934]","[1.3721619922819552, 1.3721619922819552, 1.372253559510502, 1.372253559510502]","[1.2926856677813285, 1.2926856677813285, 1.307103616984032, 1.307103616984032]","[1.618123658342053, 1.618123658342053, 1.6181236583216845, 1.6181236583216845]","[1.5771874904925023, 1.5771874904925023, 1.5287865734794823, 1.5287865734794823]","[1.25671766600107, 1.25671766600107, 1.2592795630000944, 1.2592795630000944]","[1.4212515738254181, 1.4212515738254181, 1.3686610393922178, 1.3686610393922178]","[1.4075127780831642, 1.4075127780831642, 1.40710491345832, 1.40710491345832]"
chi2,"[509.75535400717223, 505.7474357120602, 505.698257437093, 505.64938391738394]","[322.20794769530016, 199.6601887817662, 195.64999752534294, 194.41831991287611]","[463.3884350682348, 463.3063223735201, 456.56721673719755, 441.300456901271]","[1076.719741099738, 968.030049012289, 846.3541553217411, 820.0081562823636]","[353.0617712059499, 324.0143298492433, 324.01117025843365, 324.00801897789603]","[202.4309459611632, 167.577109651559, 167.30777936962843, 167.29027101795916]","[248.25847382512347, 243.18721727766706, 243.18709533193572, 243.1869733499754]","[198.32118928271404, 158.760604155683, 158.74022132335236, 158.7200382442488]","[99.07643085353877, 99.01601544770685, 98.59393083704038, 98.40525756489816]","[110.56423412559614, 107.65406744732694, 106.97082845590253, 106.46315343711926]","[193.85401727549828, 177.4076432222503, 177.40753294648889, 177.40742308007233]","[258.06750142700844, 239.1996185184327, 234.15480679299935, 223.02910878455603]","[765.212196559313, 253.52969600604598, 253.5296959973763, 253.52969592279752]","[1331.1610956001355, 538.4928106915992, 517.4393668317655, 515.0479466905958]","[240.12051217379178, 233.39021145277653, 233.19744206401322, 233.07093304237753]","[1805.590674893246, 229.08226227359734, 224.7813009397235, 223.19828736238375]","[218.88032402986474, 174.5173224416243, 174.51645361230385, 174.51558164240612]"
gamma,"[0.2222222222222222, 0.22724177485611124, 0.22724177485611124, 0.22739508343234133]","[0.2222222222222222, 0.18767460394982016, 0.18767460394982016, 0.19149188700669462]","[0.2222222222222222, 0.22359353442623192, 0.22359353442623192, 0.24911306374853293]","[0.2222222222222222, 0.203968782063457, 0.203968782063457, 0.1942007393910044]","[0.2222222222222222, 0.18748295119355207, 0.18748295119355207, 0.18749083115745196]","[0.2222222222222222, 0.17626489279032098, 0.17626489279032098, 0.1754234755970447]","[0.2222222222222222, 0.21130220762742286, 0.21130220762742286, 0.21129631774068092]","[0.2222222222222222, 0.14871610356772935, 0.14871610356772935, 0.1487699197354196]","[0.2222222222222222, 0.22443073123491297, 0.22443073123491297, 0.21928551628943554]","[0.2222222222222222, 0.19960649707078998, 0.19960649707078998, 0.1894357810586897]","[0.2222222222222222, 0.26677884556360015, 0.26677884556360015, 0.26678693776086737]","[0.2222222222222222, 0.2089467014660355, 0.2089467014660355, 0.17713333191062847]","[0.2222222222222222, -0.07642613327230988, -0.07642613327230988, -0.07643881006948586]","[0.2222222222222222, 0.14589366453235397, 0.14589366453235397, 0.15310783831042266]","[0.2222222222222222, 0.20971503873714092, 0.20971503873714092, 0.2066785754491795]","[0.2222222222222222, -0.7930035374255262, -0.7930035374255262, -0.7010604506600091]","[0.2222222222222222, 0.22807438046937636, 0.22807438046937636, 0.22806007105002335]"
n,"[6578079.0, 6578079.0, 6578079.0, 6578079.0]","[2409164.0, 2409164.0, 2409164.0, 2409164.0]","[2026807.0, 2026807.0, 2026807.0, 2026807.0]","[7600065.0, 7600065.0, 7600065.0, 7600065.0]","[4963703.0, 4963703.0, 4963703.0, 4963703.0]","[1308728.0, 1308728.0, 1308728.0, 1308728.0]","[2199088.0, 2199088.0, 2199088.0, 2199088.0]","[647554.0, 647554.0, 647554.0, 647554.0]","[315675.0, 315675.0, 315675.0, 315675.0]","[580229.0, 580229.0, 580229.0, 580229.0]","[1028244.0, 1028244.0, 1028244.0, 1028244.0]","[2701743.0, 2701743.0, 2701743.0, 2701743.0]","[1478509.0, 1478509.0, 1478509.0, 1478509.0]","[8384408.0, 8384408.0, 8384408.0, 8384408.0]","[1072863.0, 1072863.0, 1072863.0, 1072863.0]","[2127685.0, 2127685.0, 2127685.0, 2127685.0]","[1128908.0, 1128908.0, 1128908.0, 1128908.0]"
phi,"[0.008, 0.007892515850596521, 0.007892515850596521, 0.007875177961337132]","[0.008, 0.008000000274495885, 0.008000000274495885, 0.007999912899990327]","[0.008, 0.007986898649335675, 0.007986898649335675, 0.007470036602057202]","[0.008, 0.007999993030723171, 0.007999993030723171, 0.00799998904324956]","[0.008, 0.009530079536005015, 0.009530079536005015, 0.00951765851065323]","[0.008, 0.009653607052681807, 0.009653607052681807, 0.00966919473405339]","[0.008, 0.00819115290003606, 0.00819115290003606, 0.008193412495968836]","[0.008, 0.010774676061658727, 0.010774676061658727, 0.010716740026422065]","[0.008, 0.008000001404945709, 0.008000001404945709, 0.008132744510505125]","[0.008, 0.008875217983018394, 0.008875217983018394, 0.009259441764789097]","[0.008, 0.006544943846442183, 0.006544943846442183, 0.006541370812248733]","[0.008, 0.008000033548300582, 0.008000033548300582, 0.00933021082160174]","[0.008, 0.007999999495520528, 0.007999999495520528, 0.007999999495520542]","[0.008, 0.007999999105932201, 0.007999999105932201, 0.008000035986655295]","[0.008, 0.008393866610830284, 0.008393866610830284, 0.008478317454116292]","[0.008, 0.007999998758439535, 0.007999998758439535, 0.0071720681392883415]","[0.008, 0.009868828830258658, 0.009868828830258658, 0.009889543761978375]"
s1,"[0.12103765397535679, 0.12103765397535679, 0.12411864422716987, 0.12411864422716987]","[0.1186062701980358, 0.1186062701980358, 0.11466990054867549, 0.11466990054867549]","[0.17506912627414042, 0.17506912627414042, 0.17856015150619825, 0.17856015150619825]","[0.12161993268839147, 0.12161993268839147, 0.1218588300502493, 0.1218588300502493]","[0.019326371693072077, 0.019326371693072077, 0.0193537936852173, 0.0193537936852173]","[0.04762674759350321, 0.04762674759350321, 0.04826306932850018, 0.04826306932850018]","[0.04948034184941198, 0.04948034184941198, 0.049482040682082826, 0.049482040682082826]","[0.05555452189224147, 0.05555452189224147, 0.055871296023490634, 0.055871296023490634]","[0.054706062806588324, 0.054706062806588324, 0.05782085525180454, 0.05782085525180454]","[0.022889519140640795, 0.022889519140640795, 0.02362819003597609, 0.02362819003597609]","[0.02072468081787652, 0.02072468081787652, 0.020850679478135237, 0.020850679478135237]","[0.009928074689129283, 0.009928074689129283, 0.011087555413670722, 0.011087555413670722]","[0.016997397178627888, 0.016997397178627888, 0.016997397178793047, 0.016997397178793047]","[0.01922406002686234, 0.01922406002686234, 0.01849475011085463, 0.01849475011085463]","[0.029480920372569996, 0.029480920372569996, 0.03029645232328884, 0.03029645232328884]","[0.018169021993948466, 0.018169021993948466, 0.01319656790342306, 0.01319656790342306]","[0.0065449354453804755, 0.0065449354453804755, 0.006580989748323664, 0.006580989748323664]"
t0,"[42.011842664630734, 42.13141314456702, 42.276707757007344, 42.323714159130304]","[36.99999272431977, 35.99989877524354, 35.0000325482778, 35.1480198380196]","[37.45958709462204, 37.653069838582326, 36.76297987576858, 37.70668402935382]","[40.99999980620872, 40.50949922059737, 39.999998036931174, 39.855735949858584]","[30.770705589414007, 29.341655802838808, 29.478807905626667, 29.580451901670223]","[40.99305467956128, 38.50317045369859, 37.794964659189105, 37.42201890097847]","[32.00006340153733, 31.466704826184532, 31.660456934660274, 31.573926865952217]","[31.63443522856769, 29.481723060744102, 29.470586702992534, 29.212401004909545]","[35.00007907074166, 35.10212262527192, 35.56804572445465, 35.33012051804876]","[21.480477697024526, 21.790598848901904, 22.51649314456158, 22.597744665749183]","[29.88353153857874, 31.6196112271741, 31.605862727053058, 31.515454067259405]","[31.379468343048003, 29.331650824588756, 29.643952700792113, 28.142908647981066]","[29.9999946138133, 19.988478425886704, 19.926873792261006, 19.945248396763354]","[30.000000080784837, 30.078223644420873, 31.999970467430337, 31.999999658172932]","[35.68317626451386, 34.836088831431425, 34.822691625685266, 34.43244165626079]","[34.999999614303775, 22.301317566781655, 23.99994971196284, 23.068570501845592]","[29.340053520212233, 21.649572782351747, 21.667849354682726, 21.640703081951433]"
ti,"[4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75]"
tm,"[9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0]"
tr,"[2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7]"
