,Madrid,Castilla y Leon,Castilla La Mancha,Cataluna,C. Valenciana,Aragon,Pais Vasco,Navarra,La Rioja,Cantabria,Asturias,Galicia,Murcia,Andalucia,Extremadura,Canarias,Baleares
beta,"[1.4814814814814814, 1.5204909227126762, 1.5204909227126762, 1.557306697486291, 1.557306697486291, 1.5572956778079519, 1.5572956778079519, 1.5572846465136305]","[1.4814814814814814, 1.5540847559192312, 1.5540847559192312, 1.5549481290854994, 1.5549481290854994, 1.555807157912679, 1.555807157912679, 1.556662048164013]","[1.4814814814814814, 1.4825948053897, 1.4825948053897, 1.4830262645370036, 1.4830262645370036, 1.483455616428035, 1.483455616428035, 1.4838814086189138]","[1.4814814814814814, 1.5111197072844655, 1.5111197072844655, 1.547222689506675, 1.547222689506675, 1.5851018730256385, 1.5851018730256385, 1.6249045834588256]","[1.4814814814814814, 1.5031162270818714, 1.5031162270818714, 1.506605195521281, 1.506605195521281, 1.5070812764785566, 1.5070812764785566, 1.5073499544726388]","[1.4814814814814814, 1.5433562096335036, 1.5433562096335036, 1.5519196691749604, 1.5519196691749604, 1.5520016086628354, 1.5520016086628354, 1.5520833899861484]","[1.4814814814814814, 1.4819057800893163, 1.4819057800893163, 1.482195779084556, 1.482195779084556, 1.4824858330539235, 1.4824858330539235, 1.4827755073994946]","[1.4814814814814814, 1.4921296987401167, 1.4921296987401167, 1.5061428297729071, 1.5061428297729071, 1.5114896277106917, 1.5114896277106917, 1.5149608025517087]","[1.4814814814814814, 1.4893940435949766, 1.4893940435949766, 1.4892833291017613, 1.4892833291017613, 1.4891727174059497, 1.4891727174059497, 1.489062154807756]","[1.4814814814814814, 1.461336710415173, 1.461336710415173, 1.461068340060089, 1.461068340060089, 1.460799393589617, 1.460799393589617, 1.460530825815532]","[1.4814814814814814, 1.4722105826415053, 1.4722105826415053, 1.4684417462162758, 1.4684417462162758, 1.4669193187506353, 1.4669193187506353, 1.4629824151375612]","[1.4814814814814814, 1.4925612857840482, 1.4925612857840482, 1.4957015785709369, 1.4957015785709369, 1.4990940057676485, 1.4990940057676485, 1.5110648641571367]","[1.4814814814814814, 1.468800750789664, 1.468800750789664, 1.4567227721719285, 1.4567227721719285, 1.4564732981044886, 1.4564732981044886, 1.4562244646766356]","[1.4814814814814814, 1.5385515000164927, 1.5385515000164927, 1.5390003464441124, 1.5390003464441124, 1.5394478496079547, 1.5394478496079547, 1.5398948226035256]","[1.4814814814814814, 1.4850840109585528, 1.4850840109585528, 1.4855414495288708, 1.4855414495288708, 1.485997827464407, 1.485997827464407, 1.4864529033811675]","[1.4814814814814814, 1.4880204133253119, 1.4880204133253119, 1.4877785053304824, 1.4877785053304824, 1.4875384946873909, 1.4875384946873909, 1.487298715050267]","[1.4814814814814814, 1.4368316944490898, 1.4368316944490898, 1.4343119175276904, 1.4343119175276904, 1.433840831165456, 1.433840831165456, 1.4333695516658675]"
chi2,"[538.0664693608562, 489.1504867466395, 488.1576283912979, 477.17116854415167, 477.17109673312274, 477.1710249548579, 477.1709532001042, 477.17088121405584]","[201.8330913530962, 187.752977088094, 187.65590030007118, 187.55877951331001, 187.46272442127375, 187.3667018881289, 187.27166663470092, 187.17663777895456]","[446.8239975260287, 446.7001770626171, 446.6598389574482, 446.61970653624803, 446.57990628930185, 446.54021680868783, 446.5009435930448, 446.4618447222899]","[746.1160716349299, 709.1264420749544, 708.9067519404971, 673.390361505649, 673.2452607893962, 643.094660653422, 643.0058174847197, 618.0412855990807]","[353.2802386430985, 327.58520315714844, 327.07033494926117, 326.33932626594503, 326.3387873776045, 326.33150032490835, 326.3266969729066, 326.321900812843]","[186.9188132411916, 171.83415956928587, 170.62382387940016, 167.78908109680143, 167.78887509151446, 167.78866697146242, 167.78845903684618, 167.7882514215011]","[246.51887025955412, 246.51157157928105, 246.50578070106988, 246.4999622454538, 246.49415399991082, 246.48834654793833, 246.48254687597225, 246.47674945899388]","[187.92961998077757, 172.78895437102415, 168.33135144464174, 155.6558167226959, 154.33026276392766, 152.88071424078245, 152.8313301450214, 152.68923580407173]","[100.41968402552742, 99.86011035394023, 99.86000424659369, 99.85989813320677, 99.85979205232785, 99.85968610861929, 99.85958013272858, 99.85947431891204]","[112.29898404794915, 108.28924121701169, 108.28878843376941, 108.28833521100479, 108.28788139261071, 108.28742866292214, 108.28697553592724, 108.28652316363052]","[193.51942058480995, 183.2693102424489, 181.34639012375897, 178.668647864915, 178.09647395250707, 177.6430926347121, 177.53058140463918, 177.38101523524085]","[242.10735044879397, 231.14367253102762, 229.38930640646066, 228.005682367103, 227.7896267647922, 227.56691570818353, 226.3549673582031, 223.8458872773316]","[206.37113079421812, 205.86693200158382, 205.86570877297444, 205.42446794670144, 205.42409475930316, 205.42372259732238, 205.42335047594491, 205.42298006876226]","[466.3183209001717, 441.0788154994109, 441.0646469413161, 441.05045978980985, 441.0363582229986, 441.02226089520053, 441.00821850146104, 440.9941575352064]","[230.59239737431162, 230.4096361285184, 230.40518143062857, 230.40072704458822, 230.3962999504717, 230.3918727010284, 230.38746884073416, 230.38306786873693]","[203.7556381736354, 203.62720944113263, 203.6269510374919, 203.626690924969, 203.6264307540676, 203.62617117409695, 203.62591142315347, 203.62565244901492]","[175.1682129353042, 174.58975982862876, 174.5685350479196, 174.5371001306505, 174.53567387310417, 174.53425089168178, 174.53282278971767, 174.53139809294802]"
gamma,"[0.2222222222222222, 0.2102150045986228, 0.2102150045986228, 0.20663700880915448, 0.20663700880915448, 0.20663301106834822, 0.20663301106834822, 0.20662902859745585]","[0.2222222222222222, 0.22411681864096394, 0.22411681864096394, 0.2244385994500704, 0.2244385994500704, 0.22476114737107325, 0.22476114737107325, 0.22508491372697784]","[0.2222222222222222, 0.2213840265433344, 0.2213840265433344, 0.22153941815582623, 0.22153941815582623, 0.221694297937447, 0.221694297937447, 0.22184926103031088]","[0.2222222222222222, 0.22852715903037135, 0.22852715903037135, 0.22734828963260711, 0.22734828963260711, 0.22617032776761437, 0.22617032776761437, 0.22499644498664262]","[0.2222222222222222, 0.1960769475004635, 0.1960769475004635, 0.1918328740929955, 0.1918328740929955, 0.19157877472113008, 0.19157877472113008, 0.1915910639166931]","[0.2222222222222222, 0.20210903384919526, 0.20210903384919526, 0.19230646376861324, 0.19230646376861324, 0.1923161219811772, 0.1923161219811772, 0.1923258240878295]","[0.2222222222222222, 0.222106837885591, 0.222106837885591, 0.22214861926193621, 0.22214861926193621, 0.22219016037782963, 0.22219016037782963, 0.22223181485102128]","[0.2222222222222222, 0.19943465963741908, 0.19943465963741908, 0.1748514510789085, 0.1748514510789085, 0.16560365832460378, 0.16560365832460378, 0.16218663665528485]","[0.2222222222222222, 0.2145398594475091, 0.2145398594475091, 0.21452687876882123, 0.21452687876882123, 0.2145139144317037, 0.2145139144317037, 0.2145009860032911]","[0.2222222222222222, 0.19834112674598545, 0.19834112674598545, 0.19832706762830088, 0.19832706762830088, 0.1983140194717321, 0.1983140194717321, 0.1983006394370181]","[0.2222222222222222, 0.2455585270813368, 0.2455585270813368, 0.25577935097325066, 0.25577935097325066, 0.25974927958590144, 0.25974927958590144, 0.26284355475271404]","[0.2222222222222222, 0.2028329081692476, 0.2028329081692476, 0.1954799892320523, 0.1954799892320523, 0.19149004181583665, 0.19149004181583665, 0.17660259265222397]","[0.2222222222222222, 0.23613610913296273, 0.23613610913296273, 0.2486981303522931, 0.2486981303522931, 0.24868527942281848, 0.24868527942281848, 0.24867245915019348]","[0.2222222222222222, 0.20217491624363396, 0.20217491624363396, 0.20219661191193622, 0.20219661191193622, 0.20221837844661505, 0.20221837844661505, 0.2022401586890311]","[0.2222222222222222, 0.21884986305182574, 0.21884986305182574, 0.2188978959474199, 0.2188978959474199, 0.21894578601053413, 0.21894578601053413, 0.21899366307817303]","[0.2222222222222222, 0.2149074901931436, 0.2149074901931436, 0.21490607579473803, 0.21490607579473803, 0.21490285818520782, 0.21490285818520782, 0.2148997596223515]","[0.2222222222222222, 0.22827132587879967, 0.22827132587879967, 0.23059877401463835, 0.23059877401463835, 0.23057201866568228, 0.23057201866568228, 0.2305453818847355]"
n,"[6578079.0, 6578079.0, 6578079.0, 6578079.0, 6578079.0, 6578079.0, 6578079.0, 6578079.0]","[2409164.0, 2409164.0, 2409164.0, 2409164.0, 2409164.0, 2409164.0, 2409164.0, 2409164.0]","[2026807.0, 2026807.0, 2026807.0, 2026807.0, 2026807.0, 2026807.0, 2026807.0, 2026807.0]","[7600065.0, 7600065.0, 7600065.0, 7600065.0, 7600065.0, 7600065.0, 7600065.0, 7600065.0]","[4963703.0, 4963703.0, 4963703.0, 4963703.0, 4963703.0, 4963703.0, 4963703.0, 4963703.0]","[1308728.0, 1308728.0, 1308728.0, 1308728.0, 1308728.0, 1308728.0, 1308728.0, 1308728.0]","[2199088.0, 2199088.0, 2199088.0, 2199088.0, 2199088.0, 2199088.0, 2199088.0, 2199088.0]","[647554.0, 647554.0, 647554.0, 647554.0, 647554.0, 647554.0, 647554.0, 647554.0]","[315675.0, 315675.0, 315675.0, 315675.0, 315675.0, 315675.0, 315675.0, 315675.0]","[580229.0, 580229.0, 580229.0, 580229.0, 580229.0, 580229.0, 580229.0, 580229.0]","[1028244.0, 1028244.0, 1028244.0, 1028244.0, 1028244.0, 1028244.0, 1028244.0, 1028244.0]","[2701743.0, 2701743.0, 2701743.0, 2701743.0, 2701743.0, 2701743.0, 2701743.0, 2701743.0]","[1478509.0, 1478509.0, 1478509.0, 1478509.0, 1478509.0, 1478509.0, 1478509.0, 1478509.0]","[8384408.0, 8384408.0, 8384408.0, 8384408.0, 8384408.0, 8384408.0, 8384408.0, 8384408.0]","[1072863.0, 1072863.0, 1072863.0, 1072863.0, 1072863.0, 1072863.0, 1072863.0, 1072863.0]","[2127685.0, 2127685.0, 2127685.0, 2127685.0, 2127685.0, 2127685.0, 2127685.0, 2127685.0]","[1128908.0, 1128908.0, 1128908.0, 1128908.0, 1128908.0, 1128908.0, 1128908.0, 1128908.0]"
phi,"[0.008396711238447227, 0.008396711238447227, 0.008463975950530542, 0.008463975950530542, 0.008464547577601114, 0.008464547577601114, 0.008465121186920856, 0.008465121186920856]","[0.005792602949156447, 0.005792602949156447, 0.005763532840449738, 0.005763532840449738, 0.0057347652197973845, 0.0057347652197973845, 0.005706283489488212, 0.005706283489488212]","[0.010591817315409176, 0.010591817315409176, 0.010564619233825944, 0.010564619233825944, 0.010537640271512463, 0.010537640271512463, 0.010510928579619497, 0.010510928579619497]","[0.006716184423014655, 0.006716184423014655, 0.0066883172689102075, 0.0066883172689102075, 0.006665755326692785, 0.006665755326692785, 0.006648163031353768, 0.006648163031353768]","[0.006917557514171677, 0.006917557514171677, 0.007033586644532951, 0.007033586644532951, 0.007029838335918726, 0.007029838335918726, 0.007018661672375057, 0.007018661672375057]","[0.006892263847416127, 0.006892263847416127, 0.006885221300281812, 0.006885221300281812, 0.006882186606754548, 0.006882186606754548, 0.006879140910299144, 0.006879140910299144]","[0.007546597487964773, 0.007546597487964773, 0.007533499799843578, 0.007533499799843578, 0.007520405040867617, 0.007520405040867617, 0.007507341426480628, 0.007507341426480628]","[0.007463310892677973, 0.007463310892677973, 0.008010840412482014, 0.008010840412482014, 0.008372068134197053, 0.008372068134197053, 0.00844223970785592, 0.00844223970785592]","[0.009725766819812864, 0.009725766819812864, 0.009731091778692632, 0.009731091778692632, 0.009736416933583607, 0.009736416933583607, 0.009741741308954577, 0.009741741308954577]","[0.008225687506340291, 0.008225687506340291, 0.008236925450191734, 0.008236925450191734, 0.008248190016450066, 0.008248190016450066, 0.008259461460163677, 0.008259461460163677]","[0.008623554706773739, 0.008623554706773739, 0.008174536481897456, 0.008174536481897456, 0.00789278250038205, 0.00789278250038205, 0.007769784032945837, 0.007769784032945837]","[0.004915998845000744, 0.004915998845000744, 0.00519226612047499, 0.00519226612047499, 0.005290832326840181, 0.005290832326840181, 0.005300050512357128, 0.005300050512357128]","[0.0020596236284005755, 0.0020596236284005755, 0.0020650094989104525, 0.0020650094989104525, 0.0020679829972926334, 0.0020679829972926334, 0.002070953824176913, 0.002070953824176913]","[0.004487832098826052, 0.004487832098826052, 0.004475611962466114, 0.004475611962466114, 0.004463464786229408, 0.004463464786229408, 0.004451364088624257, 0.004451364088624257]","[0.005824580635790087, 0.005824580635790087, 0.005809743548991433, 0.005809743548991433, 0.005794992385771373, 0.005794992385771373, 0.00578031837746845, 0.00578031837746845]","[0.00218114655870354, 0.00218114655870354, 0.0021840355824653624, 0.0021840355824653624, 0.0021869375885990522, 0.0021869375885990522, 0.0021898399116805425, 0.0021898399116805425]","[0.00357826624096441, 0.00357826624096441, 0.0035414458761014404, 0.0035414458761014404, 0.0035510146478913793, 0.0035510146478913793, 0.003560614724433148, 0.003560614724433148]"
s1,"[0.1197846041093659, 0.1197846041093659, 0.12434703399616939, 0.12434703399616939, 0.12580402223169723, 0.12580402223169723, 0.12724789046127644, 0.12724789046127644]","[0.1421472844546045, 0.1421472844546045, 0.14049689339546592, 0.14049689339546592, 0.14287801690648638, 0.14287801690648638, 0.14094085329412553, 0.14094085329412553]","[0.12124120924307932, 0.12124120924307932, 0.12415750813607981, 0.12415750813607981, 0.12714270761571023, 0.12714270761571023, 0.1302069898954208, 0.1302069898954208]","[0.11178083256998644, 0.11178083256998644, 0.11466050822411877, 0.11466050822411877, 0.11755551549569071, 0.11755551549569071, 0.12049759023573993, 0.12049759023573993]","[0.020643413279330766, 0.020643413279330766, 0.021095557833515306, 0.021095557833515306, 0.021603373967279814, 0.021603373967279814, 0.02188035555117191, 0.02188035555117191]","[0.04965925542619942, 0.04965925542619942, 0.049997529093477225, 0.049997529093477225, 0.050820506751925246, 0.050820506751925246, 0.052109319982338295, 0.052109319982338295]","[0.05072642876055555, 0.05072642876055555, 0.05035468384120097, 0.05035468384120097, 0.05084959173360723, 0.05084959173360723, 0.05047699701782481, 0.05047699701782481]","[0.054239688452130695, 0.054239688452130695, 0.05863499482597522, 0.05863499482597522, 0.060435981074337924, 0.060435981074337924, 0.061957140208699565, 0.061957140208699565]","[0.04800628911888164, 0.04800628911888164, 0.04851793270955292, 0.04851793270955292, 0.04903478228414736, 0.04903478228414736, 0.04961839679598899, 0.04961839679598899]","[0.021842788542597552, 0.021842788542597552, 0.02237018511261845, 0.02237018511261845, 0.022909674100086434, 0.022909674100086434, 0.02346287462537132, 0.02346287462537132]","[0.019353340895302107, 0.019353340895302107, 0.018931010032515308, 0.018931010032515308, 0.01875417299126414, 0.01875417299126414, 0.01834687173667883, 0.01834687173667883]","[0.016885547387991952, 0.016885547387991952, 0.017212562683106485, 0.017212562683106485, 0.017587765693393605, 0.017587765693393605, 0.01965186420931741, 0.01965186420931741]","[0.02396833153169195, 0.02396833153169195, 0.024412369709170947, 0.024412369709170947, 0.024376057138283197, 0.024376057138283197, 0.024066886313282604, 0.024066886313282604]","[0.019326980890310468, 0.019326980890310468, 0.019794789924935267, 0.019794789924935267, 0.020273371424288644, 0.020273371424288644, 0.020763756464844345, 0.020763756464844345]","[0.047847424021310064, 0.047847424021310064, 0.048043990949781956, 0.048043990949781956, 0.04928138050999341, 0.04928138050999341, 0.04988238435139662, 0.04988238435139662]","[0.013084181722230859, 0.013084181722230859, 0.013360275158217309, 0.013360275158217309, 0.013506988649629528, 0.013506988649629528, 0.013803706624861384, 0.013803706624861384]","[0.022797058512437653, 0.022797058512437653, 0.022193548090112702, 0.022193548090112702, 0.022135685562883204, 0.022135685562883204, 0.02207797334714555, 0.02207797334714555]"
t0,"[44.749455148647, 43.12722428934603, 43.350432324206324, 42.541355828815284, 42.534054466398416, 42.52288421768011, 42.52977560038642, 42.51504402131507]","[36.34432351153163, 35.35044884518496, 35.33771628761863, 35.373948553542206, 35.5364226083354, 35.537469248258915, 35.56831501413373, 35.732552134805054]","[37.34290182763888, 37.31080315400534, 37.33374600359474, 37.30512558149673, 37.32801200738527, 37.29943004354736, 37.32253602634361, 37.29356455520277]","[39.67786165071656, 39.7146003823746, 39.701917207701584, 38.65756399949641, 38.65160051833308, 37.862310816692464, 37.83041430745082, 36.91957984206286]","[32.7376655664452, 31.36090660835336, 31.74449713005708, 31.676383835944293, 31.65678897164986, 31.671755460125297, 31.643411212525557, 31.595790328722757]","[28.712615056531238, 27.217022644303338, 26.844129389503443, 26.957548037675103, 26.931961652980835, 26.899688196436653, 26.88412031348684, 26.854973163612144]","[32.73420827653801, 32.72100478206312, 32.69057394113444, 32.69254948774342, 32.707823263696795, 32.7185083674692, 32.688038644855624, 32.72020064846575]","[27.603560400453425, 27.582267804622234, 26.44958219236441, 26.15000950721285, 26.18260314599941, 26.975388078782757, 26.664908350019772, 26.511010030418536]","[23.671624444418967, 23.502461700975164, 23.530272367435153, 23.588239254794676, 23.616031423477672, 23.676405202708917, 23.651617730662625, 23.621079373929128]","[18.757266520093108, 18.907011342209067, 18.87567000252554, 18.854473410421143, 18.822873104539816, 18.8433449768117, 18.812097423079308, 18.74603016462946]","[27.28101369800163, 27.947635292329835, 28.451986418814325, 28.26554776111834, 28.54404111464808, 28.67394876213704, 28.741851466229292, 28.726376473264757]","[27.586700808994333, 26.69631576889671, 26.18786623455054, 26.96025497284123, 26.521738118093886, 26.97311032250458, 25.824511122620144, 25.029037267408928]","[28.580987899492037, 28.44026550192872, 28.715720353184082, 29.192161752106195, 29.551288247739635, 29.629762751473454, 29.62462887399284, 29.701023159493513]","[35.76616468610321, 34.34094504570062, 34.36253708681359, 34.340534684834864, 34.36215452808234, 34.38194659757685, 34.40359945630209, 34.42416865460386]","[30.287337545700513, 30.305505525245472, 30.52615145594909, 30.599614489904752, 30.535740553977163, 30.605872801595467, 30.537493938813768, 30.56037761701357]","[30.381354592348956, 30.010361639627448, 30.09299699545013, 30.39614825990666, 30.451207667728596, 30.51760644693271, 30.545323203538615, 30.67235103961466]","[23.510494395853428, 24.765751519971467, 24.562644018759812, 24.58346044095348, 24.640436040267637, 24.580607824718804, 24.63773881800563, 24.577357446801845]"
ti,"[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]"
tm,"[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]"
tr,"[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]"
