,Madrid,Castilla y Leon,Castilla La Mancha,Cataluna,C. Valenciana,Aragon,Pais Vasco,Navarra,La Rioja,Cantabria,Asturias,Galicia,Murcia,Andalucia,Extremadura,Canarias,Baleares
beta,"[1.6098409304296109, 1.6572404935769236, 1.6856668144347395, 1.68566504792582, 1.6856650523543668, 1.6856650523543668, 1.6856650523543668, 1.6856650523543668]","[1.5713130843434273, 1.6143476183058367, 1.6729209527542905, 1.7770626768366542, 1.7821408816813602, 1.7821422165339238, 1.7821422182984776, 1.7821422182984776]","[1.5281182551213495, 1.5269255525215304, 1.5668563026277855, 1.5952506849002575, 1.5952495402906428, 1.5952495402906428, 1.5952495402906428, 1.5952495402906428]","[1.4844988127716987, 1.4989424179500452, 1.5781188330081453, 1.6067194647755803, 1.6067193955543653, 1.6067194000904834, 1.6067194017093858, 1.6067193993568525]","[1.6431323492979368, 1.6461973466636977, 1.6846701141949811, 1.7280837120759414, 1.7367356746090508, 1.7886703211504584, 1.7992120921588892, 1.841951282171431]","[1.3669222001046748, 1.4116975474225293, 1.4610138228936158, 1.4679386789026792, 1.5282150918512265, 1.5662856394013769, 1.5724782414945881, 1.5724782414945881]","[1.5386313590532965, 1.7258429218365892, 1.7258454502987122, 1.725845447824619, 1.7258454477094376, 1.7258454477149772, 1.7258454477149772, 1.7258454477149772]","[1.3147193139073101, 1.5241581227957606, 1.6260478438452104, 1.6705471465963102, 1.7170449379364794, 1.717043611391685, 1.7170392575636004, 1.7170320465272921]","[1.0797735263012576, 1.1467035070764666, 1.1811681685092772, 1.3055066402124795, 1.3302569442790633, 1.3302572975679183, 1.3302572976192442, 1.3302572976707414]","[1.0256668818570356, 1.0214920151764653, 1.0178374718249557, 1.0178374718249557, 1.0178374718249557, 1.0178374718249557, 1.0178374718249557, 1.0178374718249557]","[1.334906267534208, 1.4063015757749815, 1.4380210544237901, 1.4380113330278128, 1.4380115059967147, 1.438011513991322, 1.4380115029577278, 1.4380115262444895]","[1.3629208921553346, 1.3827157520302673, 1.3801989608174623, 1.3574829049735344, 1.3573610028486423, 1.3573610028486423, 1.3573610028486423, 1.3573610028486423]","[1.5785349776007118, 1.5227691018524765, 1.5221288743946721, 1.4958024252276534, 1.495802126764929, 1.4958021094378995, 1.4958021094378995, 1.4958021094378995]","[1.5849723748672335, 1.5849723833318992, 1.5849723854480655, 1.5849723859771072, 1.5849723861093674, 1.5849723861424323, 1.5849723861506986, 1.5849723861548315]","[1.4154493200440408, 1.4546128710958428, 1.5265279317377711, 1.5853206507667896, 1.6053738981917514, 1.626075832188307, 1.6260755682301165, 1.6260755682301165]","[1.4728400914752773, 1.47328394816178, 1.47328394816178, 1.47328394816178, 1.47328394816178, 1.47328394816178, 1.47328394816178, 1.47328394816178]","[1.5227828966039398, 1.522931336833769, 1.5319837647397465, 1.5319837647397465, 1.5319837647397465, 1.5319837647397465, 1.5319837647397465, 1.5319837647397465]"
chi2,"[502.116890876941, 496.8710054432418, 480.4311128275099, 480.43111259433834, 480.43111259433323, 480.43111259433323, 480.43111259433323, 480.43111259433323]","[406.5939782714345, 170.97370942359385, 158.22641129477753, 146.496804155201, 146.4660148392562, 146.46601482678162, 146.46601482678108, 146.46601482678108]","[519.3875367446267, 440.41440696824526, 426.3415673131802, 413.21393293505577, 413.21393293216994, 413.21393293216994, 413.21393293216994, 413.21393293216994]","[743.6673996706263, 734.201045322501, 702.4506270307885, 672.8741277243914, 672.8741276860062, 672.8741276859779, 672.8741276859771, 672.8741276859752]","[325.5991445278812, 324.84262599939325, 322.97883452708794, 321.1540548342531, 320.88715399362803, 319.63759630952416, 319.49378779478695, 319.1881616282669]","[168.10844161387132, 166.8257687157392, 165.14243469726455, 164.90430855839432, 162.3789959524093, 159.98645761939176, 159.55942945082896, 159.55942945082896]","[243.14716033462852, 233.98456473655472, 233.98456462377897, 233.98456462377771, 233.98456462377766, 233.98456462377726, 233.98456462377726, 233.98456462377726]","[167.62862461817107, 156.73167299316333, 153.81512319501968, 151.68311052706474, 149.7558751712466, 149.75586194098017, 149.7558615409995, 149.75586024344162]","[98.52690396370232, 98.08683617454435, 97.90460736382977, 96.642722984615, 95.60160011548075, 95.60160011510004, 95.60160011510003, 95.60160011510001]","[104.89350061964939, 104.89190511888296, 104.89149905643626, 104.89149905643626, 104.89149905643626, 104.89149905643626, 104.89149905643626, 104.89149905643626]","[179.21833673970727, 177.36470942743577, 177.34769716378148, 177.34769716219918, 177.34769716219793, 177.34769716219765, 177.34769716219756, 177.3476971621975]","[261.91430522466374, 222.8990596310724, 222.88775453571836, 222.80323009538083, 222.8028510159148, 222.8028310741086, 222.8028310741086, 222.8028310741086]","[205.5139938449963, 205.48319951139692, 205.4830830897837, 205.47953904810942, 205.47953904810734, 205.47953904810728, 205.47953904810728, 205.47953904810728]","[438.39509090899435, 438.3927724119323, 438.39277233099455, 438.3927723107617, 438.39277230570343, 438.39277230443963, 438.3927723041233, 438.39277230396596]","[260.3990427019144, 231.94197567499089, 230.2780281853211, 229.15999767177948, 229.02135013177147, 228.98781763205287, 228.9878176320469, 228.9878176320469]","[205.3834223316846, 205.38228009956245, 205.38228009956245, 205.38228009956245, 205.38228009956245, 205.38228009956245, 205.38228009956245, 205.38228009956245]","[178.21492313507585, 175.18432763828238, 174.8843782389478, 174.88437164820448, 174.88437164820448, 174.88437164820448, 174.88437164820448, 174.88437164820448]"
gamma,"[0.23440557377695853, 0.26247923810042806, 0.2519606389334726, 0.2519580819335514, 0.2519580869379126, 0.2519580869379126, 0.2519580869379126, 0.2519580869379126]","[0.22212828889091085, 0.2313401054681104, 0.235793163251865, 0.26534410210055104, 0.26823811926135743, 0.26823893952737654, 0.26823893969584095, 0.26823893969584095]","[0.239091942385512, 0.2361296142261693, 0.23901011296449653, 0.23105974000787943, 0.2310594188169891, 0.2310594188169891, 0.2310594188169891, 0.2310594188169891]","[0.23275151746446926, 0.2373921076945783, 0.2946719495951704, 0.2846099974300133, 0.28460997458811377, 0.2846099672453829, 0.28460996886884404, 0.28460996866154126]","[0.20986435620551658, 0.2059212053091476, 0.20736304473521994, 0.2129141125296799, 0.21343389282054417, 0.22010859643890401, 0.22230028478627656, 0.22907872555946565]","[0.202163470950682, 0.21070421324915356, 0.22960724016453038, 0.2325841367238182, 0.27174823445874996, 0.3111913019043947, 0.31970775983362465, 0.31970775983362465]","[0.24282662966177596, 0.38384078248842335, 0.3838448261984311, 0.38384481425758277, 0.38384481407435944, 0.3838448140838384, 0.3838448140838384, 0.3838448140838384]","[0.17293644726776722, 0.20903880691505283, 0.23679943332369935, 0.23181548734694407, 0.22644148934803193, 0.22637666031910253, 0.2263709749461303, 0.22637667135047324]","[0.21819092047828947, 0.23727398756008414, 0.2507515007597301, 0.43864531773505927, 0.49980339029353904, 0.49980453863003904, 0.49980452842460865, 0.49980452818702803]","[0.19537902376144783, 0.19506377482912635, 0.19482553145686715, 0.19482553145686715, 0.19482553145686715, 0.19482553145686715, 0.19482553145686715, 0.19482553145686715]","[0.25795952618075507, 0.2658560216364396, 0.26875192726350255, 0.26875100313107714, 0.2687510195970753, 0.26875101551197067, 0.2687510132278552, 0.2687510178534599]","[0.22730035036505755, 0.1733786193989829, 0.17333150842026748, 0.17269193131029278, 0.17263689654625874, 0.17266639992213334, 0.17266639992213334, 0.17266639992213334]","[0.254465338744815, 0.25273571912897763, 0.25286044529323715, 0.25212554605971826, 0.2521255239488871, 0.25212552471401867, 0.25212552471401867, 0.25212552471401867]","[0.20172809940222006, 0.20188828810732545, 0.2018882883768754, 0.2018882902492849, 0.20188829116864276, 0.20188829124806373, 0.20188829243366235, 0.20188829303351255]","[0.2636344637867038, 0.22840439465818285, 0.23269655955722954, 0.23575973332665162, 0.23772644814209035, 0.24253672497603473, 0.24253665135006508, 0.24253665135006508]","[0.2531563449257727, 0.25315634492577266, 0.25315634492577266, 0.25315634492577266, 0.25315634492577266, 0.25315634492577266, 0.25315634492577266, 0.25315634492577266]","[0.20305528335638146, 0.22936615607640415, 0.23738575377626386, 0.23741110931026707, 0.23741110931026707, 0.23741110931026707, 0.23741110931026707, 0.23741110931026707]"
n,"[6578079.0, 6578079.0, 6578079.0, 6578079.0, 6578079.0, 6578079.0, 6578079.0, 6578079.0]","[2409164.0, 2409164.0, 2409164.0, 2409164.0, 2409164.0, 2409164.0, 2409164.0, 2409164.0]","[2026807.0, 2026807.0, 2026807.0, 2026807.0, 2026807.0, 2026807.0, 2026807.0, 2026807.0]","[7600065.0, 7600065.0, 7600065.0, 7600065.0, 7600065.0, 7600065.0, 7600065.0, 7600065.0]","[4963703.0, 4963703.0, 4963703.0, 4963703.0, 4963703.0, 4963703.0, 4963703.0, 4963703.0]","[1308728.0, 1308728.0, 1308728.0, 1308728.0, 1308728.0, 1308728.0, 1308728.0, 1308728.0]","[2199088.0, 2199088.0, 2199088.0, 2199088.0, 2199088.0, 2199088.0, 2199088.0, 2199088.0]","[647554.0, 647554.0, 647554.0, 647554.0, 647554.0, 647554.0, 647554.0, 647554.0]","[315675.0, 315675.0, 315675.0, 315675.0, 315675.0, 315675.0, 315675.0, 315675.0]","[580229.0, 580229.0, 580229.0, 580229.0, 580229.0, 580229.0, 580229.0, 580229.0]","[1028244.0, 1028244.0, 1028244.0, 1028244.0, 1028244.0, 1028244.0, 1028244.0, 1028244.0]","[2701743.0, 2701743.0, 2701743.0, 2701743.0, 2701743.0, 2701743.0, 2701743.0, 2701743.0]","[1478509.0, 1478509.0, 1478509.0, 1478509.0, 1478509.0, 1478509.0, 1478509.0, 1478509.0]","[8384408.0, 8384408.0, 8384408.0, 8384408.0, 8384408.0, 8384408.0, 8384408.0, 8384408.0]","[1072863.0, 1072863.0, 1072863.0, 1072863.0, 1072863.0, 1072863.0, 1072863.0, 1072863.0]","[2127685.0, 2127685.0, 2127685.0, 2127685.0, 2127685.0, 2127685.0, 2127685.0, 2127685.0]","[1128908.0, 1128908.0, 1128908.0, 1128908.0, 1128908.0, 1128908.0, 1128908.0, 1128908.0]"
phi,"[0.007203925599851198, 0.0054602857278777395, 0.005884768842440786, 0.005884856102262547, 0.00588485584993377, 0.00588485584993377, 0.00588485584993377, 0.00588485584993377]","[0.007633173408523636, 0.0051587261848909825, 0.004772877640827832, 0.003606202477612685, 0.0035264987071774116, 0.003526483127980003, 0.0035264830963726694, 0.0035264830963726694]","[0.008457873176374947, 0.009886049877707019, 0.008125550989964331, 0.008725070232459095, 0.008725117969920898, 0.008725117969920898, 0.008725117969920898, 0.008725117969920898]","[0.006362354916723732, 0.005852474369008494, 0.0034549544017490066, 0.0036422290750842985, 0.0036422235832952584, 0.003642223747332538, 0.0036422237237334135, 0.003642223749891187]","[0.004940345666236001, 0.004917284046996331, 0.004028017801479038, 0.003181285177860135, 0.003053434069406241, 0.0023335173740729616, 0.0022092213605761266, 0.0017896699771811986]","[0.005448982460654986, 0.004084673704663493, 0.002943340430325174, 0.002827932574138261, 0.001937726533098007, 0.001551019563889795, 0.0015025248550211167, 0.0015025248550211167]","[0.004218301922921223, 0.0014026500515623315, 0.0014026416474582021, 0.0014026416924008277, 0.001402641692778585, 0.001402641692737311, 0.001402641692737311, 0.001402641692737311]","[0.008729520360661715, 0.0032072303779860757, 0.0023873766536752824, 0.002428752447860935, 0.0024802092501134717, 0.002480513078394593, 0.002480556740718654, 0.0024806855434711876]","[0.008718838806446166, 0.005104458964304837, 0.003937875673522384, 0.0015622205433982604, 0.0014485648025153492, 0.0014485627326643867, 0.0014485627475654289, 0.0014485627470864008]","[0.010202212910433245, 0.010578189044034389, 0.01091076005966393, 0.01091076005966393, 0.01091076005966393, 0.01091076005966393, 0.01091076005966393, 0.01091076005966393]","[0.00844189979196198, 0.00670654099931393, 0.005594398445833603, 0.0055947045558864365, 0.005594699398965787, 0.005594699271110005, 0.005594699672567465, 0.0055946988044208255]","[0.0075122816434856, 0.011083876680259945, 0.011249837955349007, 0.012856819021113866, 0.012871022926899255, 0.012871022926899255, 0.012871022926899255, 0.012871022926899255]","[0.002672459620723199, 0.003532960664523046, 0.003540155170052231, 0.004051076535938554, 0.004051082869054565, 0.004051083188278917, 0.004051083188278917, 0.004051083188278917]","[0.004343303873289758, 0.004343303797075167, 0.00434330377802152, 0.004343303773258108, 0.004343303772067255, 0.004343303771769542, 0.004343303771695114, 0.004343303771657899]","[0.004799326915911979, 0.0043470616779457925, 0.0036397158933008916, 0.003335833070202867, 0.0030269360244579565, 0.0027187216737001494, 0.00271872537255577, 0.00271872537255577]","[0.0015178462611778124, 0.0015196249872651301, 0.0015196249872651301, 0.0015196249872651301, 0.0015196249872651301, 0.0015196249872651301, 0.0015196249872651301, 0.0015196249872651301]","[0.003946492235936435, 0.003518164582048369, 0.003243158896532518, 0.003243158896532518, 0.003243158896532518, 0.003243158896532518, 0.003243158896532518, 0.003243158896532518]"
s1,"[0.13166696409323977, 0.1765505598120613, 0.16337045083077684, 0.16171446686342403, 0.16226734716838698, 0.16226734716838698, 0.16226734716838698, 0.16226734716838698]","[0.12871346721935248, 0.12817383018805878, 0.13858204203538133, 0.18192552991562339, 0.18649961250700153, 0.1887652461177548, 0.18935511031468838, 0.18935511031468838]","[0.11748552558614203, 0.11989004311908807, 0.14824749794874334, 0.1486298241787649, 0.1506598255241543, 0.1506598255241543, 0.1506598255241543, 0.1506598255241543]","[0.10204395430684712, 0.14059080508339183, 0.20340711898786962, 0.20381519042638746, 0.20505797569828468, 0.2063360937668038, 0.2069809756206195, 0.20752440493903646]","[0.027479873456371318, 0.027936014723085822, 0.044481623086587235, 0.042725190937126886, 0.05835735880019139, 0.05794360395855691, 0.08008750246947927, 0.07793731505939983]","[0.06386054472981931, 0.10427974559187039, 0.11361671746278845, 0.14396904185113657, 0.20924277313845874, 0.20810536272049185, 0.21517746636853557, 0.21517746636853557]","[0.07076697935125242, 0.23643530267526874, 0.23838601760015915, 0.2412944208636449, 0.24132583943012736, 0.24132633040892693, 0.24132633040892693, 0.24132633040892693]","[0.058133573892788046, 0.1592576341426839, 0.21927417301857255, 0.22207904116574662, 0.260572243398421, 0.26057124163852635, 0.26056931320320514, 0.26056889969918584]","[0.05356065135839508, 0.09941650119435726, 0.13814080353197145, 0.26672903550772253, 0.29094096352152365, 0.29205892492504903, 0.2925153034780186, 0.29262961012077093]","[0.02138867826364451, 0.021580720312778898, 0.020883468289333282, 0.020883468289333282, 0.020883468289333282, 0.020883468289333282, 0.020883468289333282, 0.020883468289333282]","[0.016508596774475793, 0.016996262385700192, 0.021587279725937703, 0.02166026168483605, 0.021794828159355066, 0.02193104915545262, 0.022068121962104375, 0.02213708749883237]","[0.012502677738110844, 0.009175891071121937, 0.011370370957820052, 0.009959786795891781, 0.009959093950646751, 0.009959093950646751, 0.009959093950646751, 0.009959093950646751]","[0.014215146676124571, 0.012575382364543496, 0.010588757910589355, 0.010466726520582191, 0.010578952021469893, 0.010645063921098877, 0.010645063921098877, 0.010645063921098877]","[0.019736790965797495, 0.019736791071203325, 0.01973679109755478, 0.019736791104142646, 0.01973679110578961, 0.019736791106201357, 0.019736791106304295, 0.01973679110635576]","[0.05332026385730349, 0.053612915642797174, 0.06912421894867754, 0.06861837548799796, 0.09723697296584896, 0.09544464330680244, 0.09604360775530693, 0.09604360775530693]","[0.018785530211275644, 0.018785530211275644, 0.018785530211275644, 0.018785530211275644, 0.018785530211275644, 0.018785530211275644, 0.018785530211275644, 0.018785530211275644]","[0.022520973154581535, 0.022497701515025108, 0.023355139535369746, 0.023355139535369746, 0.023355139535369746, 0.023355139535369746, 0.023355139535369746, 0.023355139535369746]"
t0,"[42.00001058605926, 42.02053508293817, 41.93643418770339, 41.938368520312366, 41.9383595354595, 41.9383595354595, 41.9383595354595, 41.9383595354595]","[35.99999874892188, 34.378560851218, 33.99994084059088, 32.00003716693335, 32.014606298856066, 32.3769434696876, 32.37695303718739, 32.37695303718739]","[36.000004180695335, 36.04524138609509, 36.13744918019346, 35.52691600148786, 35.52696901654772, 35.52696901654772, 35.52696901654772, 35.52696901654772]","[40.99999435257416, 40.9999999154715, 40.00049369511154, 39.873497634491464, 39.872461934033694, 39.872356394200104, 39.872324863340864, 39.87228449660559]","[30.999962678790162, 30.999988233193974, 30.000025751070204, 30.000083078810995, 30.999950399978726, 30.255708236926104, 30.000077145040514, 30.349321467229217]","[32.92661558543564, 32.00003527243489, 32.00006309548415, 32.99994413914436, 32.004078656417896, 32.00054380687854, 32.444072428693985, 32.444072428693985]","[33.01127128528982, 33.24440592077188, 33.23721178136553, 33.23767089138059, 33.241998716155344, 33.242066347191724, 33.242066347191724, 33.242066347191724]","[31.773398552273378, 30.78987655985923, 29.999905768144565, 28.356761695880472, 27.999997456909746, 27.999984603514346, 27.99998456032339, 27.999965782413803]","[36.99992897039395, 36.00004734134012, 36.99994338806529, 36.68945648850965, 36.84006096961977, 36.840367977363684, 36.84035914532322, 36.84034837965895]","[31.999998954339535, 31.585566582703137, 31.755208741303534, 31.755208741303534, 31.755208741303534, 31.755208741303534, 31.755208741303534, 31.755208741303534]","[30.000026497868163, 30.00002005607109, 30.920055621081275, 30.91842493805514, 30.918441832050863, 30.91843341682733, 30.91842112632101, 30.918417449972907]","[26.0000083318929, 25.010744984965676, 25.925408266288226, 25.00001758663479, 25.999967149838433, 25.999967149838433, 25.999967149838433, 25.999967149838433]","[26.99996242851617, 26.000032544735646, 26.001567185996173, 26.313205077269124, 26.313632886358235, 26.313663624699842, 26.313663624699842, 26.313663624699842]","[33.66599110677974, 33.665991781013965, 33.665991949572515, 33.66599199171215, 33.665992002247066, 33.665992004880785, 33.66599200553922, 33.665992005868446]","[33.00000001704136, 32.00003021828816, 31.00000217922534, 30.000069413013634, 30.000079624213406, 30.168714798408672, 30.16855387475612, 30.16855387475612]","[33.99999811781245, 33.99999811781245, 33.99999811781245, 33.99999811781245, 33.99999811781245, 33.99999811781245, 33.99999811781245, 33.99999811781245]","[21.000027415795305, 22.00000855789679, 23.999994371432088, 23.999994371432088, 23.999994371432088, 23.999994371432088, 23.999994371432088, 23.999994371432088]"
ti,"[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]","[4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75, 4.75]"
tm,"[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]","[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0]"
tr,"[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]"
