,fecha,prec,sol,tmax,tmed,tmin,ncases,uci,fallecidos,hospitalizados
0,2020-02-27,0.0,10.8,22.2,12.2,2.3,1,,,
1,2020-02-28,0.0,9.5,23.9,14.8,5.7,6,,,
2,2020-02-29,0.6,7.8,16.9,13.6,10.3,8,,,
3,2020-03-01,1.3,7.4,18.1,14.0,9.9,12,,,
4,2020-03-02,0.1,9.3,20.7,15.2,9.8,12,,,
5,2020-03-03,0.0,6.8,17.6,11.8,6.1,13,,0.0,
6,2020-03-04,0.0,10.0,22.4,15.6,8.9,13,1.0,0.0,
7,2020-03-05,0.0,7.1,19.0,12.3,5.6,12,1.0,0.0,
8,2020-03-06,0.0,10.8,19.7,12.4,5.2,21,1.0,0.0,
9,2020-03-07,0.0,10.1,20.4,11.2,2.0,27,,0.0,
10,2020-03-08,0.0,10.8,23.5,12.8,2.2,35,,0.0,
11,2020-03-09,0.0,11.2,23.8,13.8,3.9,54,1.0,0.0,
12,2020-03-10,0.0,10.9,29.0,17.7,6.4,71,1.0,0.0,
13,2020-03-11,0.0,8.6,28.7,18.0,7.3,90,3.0,0.0,
14,2020-03-12,0.0,10.6,26.9,17.8,8.8,115,4.0,0.0,
15,2020-03-13,0.0,11.0,22.9,14.9,6.9,219,8.0,0.0,
16,2020-03-14,0.0,9.1,22.3,16.8,11.3,269,,2.0,
17,2020-03-15,0.4,5.8,23.6,15.8,8.1,437,,6.0,
18,2020-03-16,2.3,8.3,15.9,10.8,5.8,554,11.0,7.0,
19,2020-03-17,0.0,8.4,20.4,14.2,8.0,683,13.0,11.0,
20,2020-03-18,0.0,9.6,24.2,19.2,14.1,859,21.0,19.0,
21,2020-03-19,0.0,4.2,22.7,15.6,8.6,1008,25.0,23.0,
22,2020-03-20,9.0,9.0,20.7,15.6,10.4,1287,38.0,30.0,
23,2020-03-21,5.6,7.6,17.3,12.8,8.2,1515,53.0,40.0,605.0
24,2020-03-22,1.1,8.9,18.5,13.6,8.6,1725,55.0,47.0,724.0
25,2020-03-23,,,,,,1961,77.0,58.0,865.0
26,2020-03-24,,,,,,2471,102.0,87.0,1132.0
27,2020-03-25,,,,,,3010,116.0,113.0,1433.0
28,2020-03-26,,,,,,3406,134.0,134.0,1626.0
