,fecha,prec,sol,tmax,tmed,tmin,ncases,uci,fallecidos,hospitalizados
0,2020-02-27,0.0,9.9,18.1,11.0,4.0,0,,,
1,2020-02-28,0.0,9.1,20.7,14.3,7.9,1,,,
2,2020-02-29,0.0,2.0,18.0,12.6,7.3,1,,,
3,2020-03-01,1.2,8.1,21.3,16.6,11.9,0,,,
4,2020-03-02,0.4,3.2,17.4,11.2,4.9,0,,,
5,2020-03-03,2.2,4.2,17.5,10.2,3.0,0,,0.0,
6,2020-03-04,0.0,8.1,20.4,14.3,8.2,0,0.0,0.0,
7,2020-03-05,0.2,3.9,20.2,13.9,7.6,1,1.0,0.0,
8,2020-03-06,2.2,6.5,10.9,8.2,5.6,6,1.0,1.0,
9,2020-03-07,0.0,8.8,15.2,10.6,5.9,11,,1.0,
10,2020-03-08,0.0,8.6,17.5,10.2,3.0,13,,2.0,
11,2020-03-09,0.0,8.3,14.9,12.0,9.2,13,1.0,2.0,
12,2020-03-10,0.0,9.3,21.3,14.8,8.3,38,3.0,3.0,
13,2020-03-11,0.0,11.0,25.3,16.2,7.2,45,3.0,4.0,
14,2020-03-12,0.0,9.1,22.7,15.7,8.7,64,3.0,6.0,
15,2020-03-13,0.0,9.8,18.5,14.0,9.6,80,3.0,7.0,
16,2020-03-14,0.0,11.5,19.3,13.2,7.0,80,,7.0,
17,2020-03-15,14.4,6.3,17.3,10.4,3.6,147,,7.0,
18,2020-03-16,28.8,0.0,12.1,8.4,4.8,174,7.0,11.0,
19,2020-03-17,0.2,0.4,13.3,11.1,8.9,207,9.0,12.0,
20,2020-03-18,0.0,0.3,15.6,11.6,7.6,226,9.0,13.0,
21,2020-03-19,0.0,8.2,17.7,12.4,7.0,281,14.0,15.0,
22,2020-03-20,0.0,5.2,16.7,11.8,6.9,360,28.0,17.0,
23,2020-03-21,0.0,10.2,17.3,11.4,5.4,424,33.0,22.0,192.0
24,2020-03-22,0.0,6.5,17.8,12.2,6.7,532,45.0,24.0,241.0
25,2020-03-23,,,,,,638,52.0,32.0,298.0
26,2020-03-24,,,,,,758,66.0,37.0,384.0
27,2020-03-25,,,,,,907,75.0,40.0,459.0
28,2020-03-26,,,,,,1116,93.0,48.0,562.0
