,fecha,prec,sol,tmax,tmed,tmin,ncases,uci,fallecidos,hospitalizados
0,2020-02-27,0.0,5.5,18.6,15.3,12.0,0,,,
1,2020-02-28,0.0,6.5,18.0,13.2,8.5,0,,,
2,2020-02-29,0.0,2.5,19.2,15.8,12.4,0,,,
3,2020-03-01,38.8,3.8,19.3,15.0,10.8,1,,,
4,2020-03-02,16.5,4.1,12.3,9.6,6.9,1,,,
5,2020-03-03,1.4,7.7,19.7,14.2,8.7,1,,0.0,
6,2020-03-04,6.7,4.4,22.8,17.6,12.4,2,1.0,0.0,
7,2020-03-05,12.7,5.1,19.0,14.4,9.8,5,2.0,0.0,
8,2020-03-06,2.7,6.0,13.3,10.6,8.0,5,2.0,0.0,
9,2020-03-07,0.0,6.1,15.5,12.1,8.7,5,,0.0,
10,2020-03-08,0.5,4.6,19.3,13.8,8.2,7,,0.0,
11,2020-03-09,0.0,3.6,15.8,13.0,10.2,7,2.0,0.0,
12,2020-03-10,0.0,7.0,15.8,12.4,9.1,22,2.0,0.0,
13,2020-03-11,0.0,9.1,16.3,13.2,10.2,32,2.0,0.0,
14,2020-03-12,1.3,0.0,14.5,12.6,10.7,47,2.0,1.0,
15,2020-03-13,0.2,1.1,13.6,11.8,10.0,67,2.0,1.0,
16,2020-03-14,0.0,9.7,15.2,11.9,8.6,92,,1.0,
17,2020-03-15,11.5,3.0,17.2,11.6,6.0,137,,1.0,
18,2020-03-16,0.4,5.8,13.2,9.7,6.2,177,3.0,1.0,
19,2020-03-17,0.0,0.0,13.5,11.4,9.2,193,5.0,1.0,
20,2020-03-18,0.0,2.0,14.5,12.8,11.0,242,5.0,1.0,
21,2020-03-19,0.0,0.0,12.8,12.0,11.1,292,6.0,1.0,
22,2020-03-20,0.0,,14.4,12.8,11.2,344,7.0,2.0,
23,2020-03-21,0.0,,14.0,12.3,10.6,486,12.0,5.0,133.0
24,2020-03-22,0.0,,15.4,14.0,12.5,545,15.0,8.0,171.0
25,2020-03-23,,,,,,594,22.0,12.0,194.0
26,2020-03-24,,,,,,662,23.0,22.0,224.0
27,2020-03-25,,,,,,779,29.0,25.0,263.0
28,2020-03-26,,,,,,841,34.0,27.0,300.0
