,fecha,prec,sol,tmax,tmed,tmin,ncases,uci,fallecidos,hospitalizados
0,2020-02-27,0.0,8.5,17.7,11.8,5.8,1,,,
1,2020-02-28,0.0,7.0,19.6,14.5,9.4,1,,,
2,2020-02-29,0.0,6.1,18.4,13.6,8.7,2,,,
3,2020-03-01,1.3,6.7,19.7,15.8,11.9,2,,,
4,2020-03-02,2.4,1.1,18.4,15.4,12.3,2,,,
5,2020-03-03,0.0,2.8,19.6,15.2,10.8,2,,0.0,
6,2020-03-04,0.0,7.1,17.6,11.7,5.8,5,0.0,0.0,
7,2020-03-05,0.0,8.1,20.1,14.4,8.7,6,0.0,0.0,
8,2020-03-06,0.7,4.7,17.9,14.2,10.5,6,0.0,0.0,
9,2020-03-07,0.4,9.2,16.9,12.1,7.3,6,,0.0,
10,2020-03-08,0.0,10.8,20.4,12.8,5.2,8,,0.0,
11,2020-03-09,0.0,5.1,17.7,11.6,5.6,11,0.0,0.0,
12,2020-03-10,0.0,6.1,16.7,11.4,6.0,13,1.0,0.0,
13,2020-03-11,0.0,10.9,18.9,12.4,5.9,16,1.0,0.0,
14,2020-03-12,0.0,10.4,21.2,14.2,7.3,22,2.0,1.0,
15,2020-03-13,1.7,9.2,20.3,14.1,7.9,30,2.0,1.0,
16,2020-03-14,0.0,9.3,20.1,14.1,8.1,28,,1.0,
17,2020-03-15,0.2,8.8,20.6,13.2,5.9,28,,1.0,
18,2020-03-16,0.3,0.1,19.6,15.2,10.7,73,4.0,1.0,
19,2020-03-17,0.0,0.0,18.2,16.4,14.5,92,4.0,1.0,
20,2020-03-18,0.0,0.2,18.7,14.9,11.1,112,4.0,1.0,
21,2020-03-19,0.0,5.2,19.2,13.8,8.3,169,7.0,2.0,
22,2020-03-20,0.0,6.0,19.3,13.4,7.5,203,10.0,2.0,
23,2020-03-21,,3.4,19.1,13.7,8.3,246,14.0,4.0,60.0
24,2020-03-22,,,,,,331,14.0,4.0,79.0
25,2020-03-23,,,,,,400,27.0,10.0,87.0
26,2020-03-24,,,,,,478,35.0,10.0,127.0
27,2020-03-25,,,,,,562,40.0,13.0,164.0
28,2020-03-26,,,,,,660,43.0,17.0,205.0
