,fecha,prec,sol,tmax,tmed,tmin,ncases,uci,fallecidos,hospitalizados
0,2020-02-27,0.0,10.6,25.1,14.6,4.2,2,,,
1,2020-02-28,0.0,9.6,23.2,16.3,9.4,8,,,
2,2020-02-29,0.0,5.9,23.9,15.1,6.3,10,,,
3,2020-03-01,0.0,8.1,22.0,18.0,14.0,15,,,
4,2020-03-02,0.0,8.6,21.0,14.2,7.5,15,,,
5,2020-03-03,0.0,6.8,20.7,14.8,8.8,15,,0.0,
6,2020-03-04,0.0,8.9,25.3,19.4,13.4,19,0.0,1.0,
7,2020-03-05,0.0,6.1,22.7,18.2,13.8,19,0.0,1.0,
8,2020-03-06,0.0,8.0,19.3,15.0,10.7,30,1.0,1.0,
9,2020-03-07,0.0,5.5,21.0,14.2,7.3,30,,1.0,
10,2020-03-08,0.0,10.1,23.3,14.5,5.7,37,,1.0,
11,2020-03-09,0.0,6.1,23.1,14.7,6.3,37,1.0,1.0,
12,2020-03-10,0.0,4.5,21.3,15.6,9.8,50,1.0,1.0,
13,2020-03-11,0.0,10.7,25.1,16.4,7.8,65,1.0,1.0,
14,2020-03-12,0.0,10.5,21.7,15.2,8.6,76,2.0,1.0,
15,2020-03-13,0.0,7.5,18.6,14.5,10.4,94,2.0,1.0,
16,2020-03-14,0.0,10.6,20.5,14.8,9.0,130,,4.0,
17,2020-03-15,1.1,4.7,19.3,14.1,8.9,409,,5.0,
18,2020-03-16,17.2,0.0,14.3,11.8,9.3,409,4.0,5.0,
19,2020-03-17,7.2,0.0,14.5,12.1,9.7,541,27.0,13.0,
20,2020-03-18,0.0,5.8,17.2,13.8,10.4,726,40.0,22.0,
21,2020-03-19,0.0,2.7,16.3,13.0,9.8,921,52.0,24.0,
22,2020-03-20,0.1,1.2,15.8,13.8,11.8,1105,71.0,33.0,
23,2020-03-21,6.4,0.0,14.2,11.2,8.1,1363,84.0,50.0,476.0
24,2020-03-22,12.4,2.0,15.6,12.9,10.2,1604,113.0,69.0,590.0
25,2020-03-23,,,,,,1901,138.0,94.0,702.0
26,2020-03-24,,,,,,2167,161.0,115.0,917.0
27,2020-03-25,,,,,,2616,198.0,143.0,1071.0
28,2020-03-26,,,,,,3200,230.0,167.0,1278.0
