,fecha,prec,sol,tmax,tmed,tmin,ncases,uci,fallecidos,hospitalizados
0,2020-02-27,0.0,8.2,23.5,19.4,15.4,6,,,
1,2020-02-28,0.0,10.9,22.0,17.9,13.8,6,,,
2,2020-02-29,0.0,9.8,24.3,19.8,15.4,6,,,
3,2020-03-01,0.0,7.7,24.8,19.8,14.9,7,,,
4,2020-03-02,0.0,9.9,24.6,20.8,17.0,7,,,
5,2020-03-03,0.0,9.9,25.4,21.0,16.5,7,,0.0,
6,2020-03-04,0.0,11.1,26.9,21.7,16.5,7,0.0,0.0,
7,2020-03-05,0.0,6.0,23.7,19.8,16.0,8,0.0,0.0,
8,2020-03-06,0.0,9.3,23.1,19.8,16.5,11,0.0,0.0,
9,2020-03-07,0.0,10.3,24.3,20.2,16.1,18,,0.0,
10,2020-03-08,0.0,10.7,27.0,21.4,15.7,17,,0.0,
11,2020-03-09,0.0,11.1,27.6,21.5,15.4,22,0.0,0.0,
12,2020-03-10,0.0,11.3,25.0,20.1,15.2,25,1.0,0.0,
13,2020-03-11,0.0,10.7,23.1,17.7,12.3,37,1.0,0.0,
14,2020-03-12,0.0,11.2,26.6,21.0,15.4,51,3.0,0.0,
15,2020-03-13,0.0,8.2,24.0,19.3,14.6,70,2.0,0.0,
16,2020-03-14,0.0,7.5,22.7,18.6,14.5,90,,1.0,
17,2020-03-15,0.0,5.3,22.6,18.2,13.8,109,,1.0,
18,2020-03-16,0.0,4.2,23.0,19.6,16.1,119,9.0,1.0,
19,2020-03-17,0.3,3.7,21.5,17.6,13.8,148,13.0,2.0,
20,2020-03-18,0.8,8.6,21.5,17.6,13.7,181,17.0,3.0,
21,2020-03-19,0.0,10.7,23.1,19.0,14.9,220,23.0,3.0,
22,2020-03-20,0.2,6.3,23.3,19.5,15.7,287,25.0,4.0,
23,2020-03-21,0.0,2.8,21.5,18.4,15.2,348,29.0,7.0,139.0
24,2020-03-22,2.5,7.1,22.3,18.3,14.3,414,32.0,9.0,150.0
25,2020-03-23,,,,,,481,32.0,11.0,172.0
26,2020-03-24,,,,,,557,36.0,16.0,207.0
27,2020-03-25,,,,,,657,43.0,21.0,235.0
28,2020-03-26,,,,,,784,45.0,24.0,279.0
