,fecha,prec,sol,tmax,tmed,tmin,ncases,uci,fallecidos,hospitalizados
0,2020-02-27,0.0,10.2,23.5,18.8,14.1,0,,,
1,2020-02-28,0.0,10.3,18.9,15.4,11.9,0,,,
2,2020-02-29,0.0,7.2,19.2,16.3,13.4,0,,,
3,2020-03-01,0.0,8.0,20.4,17.9,15.4,0,,,
4,2020-03-02,0.2,5.4,19.9,17.6,15.2,0,,,
5,2020-03-03,0.0,8.8,19.0,16.4,13.9,0,,0.0,
6,2020-03-04,0.0,10.4,21.3,18.1,14.9,0,0.0,0.0,
7,2020-03-05,0.4,3.3,19.5,16.9,14.3,0,0.0,0.0,
8,2020-03-06,0.0,8.8,17.5,14.6,11.6,0,0.0,0.0,
9,2020-03-07,0.0,10.6,18.9,15.0,11.2,0,,0.0,
10,2020-03-08,0.0,9.5,18.4,15.5,12.6,0,,0.0,
11,2020-03-09,0.0,10.7,25.9,20.9,15.9,0,0.0,0.0,
12,2020-03-10,0.0,9.1,20.6,18.0,15.3,0,0.0,0.0,
13,2020-03-11,0.0,10.7,20.6,17.7,14.8,0,0.0,0.0,
14,2020-03-12,0.0,10.1,24.3,19.7,15.1,0,0.0,0.0,
15,2020-03-13,0.0,8.6,22.2,18.5,14.8,0,0.0,0.0,
16,2020-03-14,1.4,1.1,19.1,16.8,14.4,0,,0.0,
17,2020-03-15,2.8,1.9,17.6,16.0,14.3,1,,0.0,
18,2020-03-16,6.0,7.7,16.4,13.6,10.7,1,0.0,0.0,
19,2020-03-17,4.8,4.3,16.1,13.2,10.3,1,0.0,0.0,
20,2020-03-18,0.0,1.0,16.7,15.8,15.0,1,0.0,0.0,
21,2020-03-19,0.0,0.0,15.8,15.4,15.0,1,0.0,0.0,
22,2020-03-20,17.0,0.0,15.7,14.2,12.8,5,0.0,0.0,
23,2020-03-21,,5.0,17.8,14.3,10.8,5,0.0,0.0,0.0
24,2020-03-22,2.2,0.5,14.2,12.4,10.6,5,0.0,0.0,0.0
25,2020-03-23,,,,,,6,0.0,0.0,0.0
26,2020-03-24,,,,,,6,0.0,0.0,0.0
27,2020-03-25,,,,,,9,1.0,0.0,2.0
28,2020-03-26,,,,,,10,2.0,0.0,2.0
