,fecha,prec,sol,tmax,tmed,tmin,ncases,uci,fallecidos,hospitalizados
0,2020-02-27,0.0,7.6,14.3,11.8,9.3,0,,,
1,2020-02-28,19.6,7.4,15.9,11.6,7.4,0,,,
2,2020-02-29,8.0,1.4,11.8,9.6,7.3,0,,,
3,2020-03-01,40.1,2.6,12.7,10.3,7.9,0,,,
4,2020-03-02,14.1,5.1,12.2,8.2,4.3,0,,,
5,2020-03-03,10.0,0.1,13.8,10.9,8.0,0,,0.0,
6,2020-03-04,34.8,0.0,13.5,12.7,11.9,1,0.0,0.0,
7,2020-03-05,9.0,4.9,12.9,9.8,6.8,1,0.0,0.0,
8,2020-03-06,2.6,5.4,11.6,8.4,5.2,3,0.0,0.0,
9,2020-03-07,0.0,6.6,13.0,8.8,4.5,3,,0.0,
10,2020-03-08,0.3,2.5,13.6,9.8,5.9,5,,0.0,
11,2020-03-09,0.0,7.6,14.1,9.1,4.1,6,0.0,0.0,
12,2020-03-10,0.0,4.7,14.6,10.2,5.8,22,2.0,0.0,
13,2020-03-11,0.1,5.1,17.7,13.2,8.8,39,2.0,0.0,
14,2020-03-12,0.0,0.2,12.9,9.3,5.7,35,2.0,0.0,
15,2020-03-13,0.0,4.0,13.6,9.2,4.9,85,2.0,0.0,
16,2020-03-14,0.0,10.4,17.1,10.2,3.2,115,,0.0,
17,2020-03-15,10.8,2.5,9.9,6.4,2.8,195,,2.0,
18,2020-03-16,0.7,6.3,11.0,7.2,3.3,245,9.0,2.0,
19,2020-03-17,0.0,10.6,18.1,11.4,4.7,292,9.0,3.0,
20,2020-03-18,0.0,9.9,22.2,14.5,6.8,341,12.0,3.0,
21,2020-03-19,4.6,7.9,19.7,12.8,5.8,453,15.0,4.0,
22,2020-03-20,5.4,0.0,14.3,12.0,9.7,578,19.0,5.0,
23,2020-03-21,15.6,3.4,16.3,12.4,8.6,739,29.0,9.0,168.0
24,2020-03-22,0.0,4.8,16.4,12.5,8.6,915,35.0,12.0,227.0
25,2020-03-23,,,,,,1208,47.0,18.0,270.0
26,2020-03-24,,,,,,1415,55.0,20.0,338.0
27,2020-03-25,,,,,,1653,69.0,27.0,412.0
28,2020-03-26,,,,,,1915,86.0,32.0,503.0
