,fecha,prec,sol,tmax,tmed,tmin,ncases,uci,fallecidos,hospitalizados
0,2020-02-27,0.0,5.1,18.8,9.6,0.4,0,,,
1,2020-02-28,0.0,9.0,17.5,10.5,3.5,0,,,
2,2020-02-29,0.0,1.1,16.9,10.8,4.7,0,,,
3,2020-03-01,5.1,5.0,19.3,13.9,8.5,0,,,
4,2020-03-02,2.7,5.7,12.1,8.2,4.3,1,,,
5,2020-03-03,1.9,6.8,20.2,12.3,4.4,3,,0.0,
6,2020-03-04,0.0,7.0,20.2,14.2,8.1,7,0.0,0.0,
7,2020-03-05,3.7,3.8,16.9,11.8,6.7,11,0.0,0.0,
8,2020-03-06,5.3,3.8,8.9,7.0,5.1,29,0.0,0.0,
9,2020-03-07,0.1,1.9,13.7,8.2,2.6,39,,0.0,
10,2020-03-08,0.0,7.5,17.0,8.2,-0.5,55,,0.0,
11,2020-03-09,0.0,4.9,14.6,10.6,6.7,81,1.0,0.0,
12,2020-03-10,0.0,9.8,22.3,13.6,5.0,144,1.0,1.0,
13,2020-03-11,0.0,10.9,24.0,13.8,3.5,179,1.0,2.0,
14,2020-03-12,0.1,7.5,19.4,14.0,8.5,205,1.0,2.0,
15,2020-03-13,0.0,2.5,14.0,9.6,5.2,243,2.0,2.0,
16,2020-03-14,0.0,11.4,18.8,11.2,3.5,278,,3.0,
17,2020-03-15,29.8,7.8,17.9,9.0,0.2,300,,3.0,
18,2020-03-16,42.9,0.0,8.2,5.6,3.1,312,13.0,4.0,
19,2020-03-17,0.0,0.0,11.4,8.6,5.9,355,13.0,5.0,
20,2020-03-18,0.0,3.7,15.0,10.0,5.1,419,13.0,5.0,
21,2020-03-19,0.0,6.3,17.5,11.7,5.9,468,15.0,5.0,
22,2020-03-20,0.0,5.9,14.9,10.7,6.5,497,15.0,7.0,
23,2020-03-21,0.0,9.3,15.8,10.6,5.3,564,17.0,15.0,128.0
24,2020-03-22,0.3,10.5,17.8,11.6,5.5,654,17.0,18.0,134.0
25,2020-03-23,,,,,,747,22.0,22.0,166.0
26,2020-03-24,,,,,,802,24.0,30.0,206.0
27,2020-03-25,,,,,,928,33.0,37.0,254.0
28,2020-03-26,,,,,,995,36.0,43.0,316.0
