,fecha,prec,sol,tmax,tmed,tmin,ncases,uci,fallecidos,hospitalizados
0,2020-02-27,0.0,8.9,18.2,11.8,5.4,4,,,
1,2020-02-28,0.0,8.9,18.6,11.5,4.4,5,,,
2,2020-02-29,0.0,1.3,14.2,10.5,6.8,8,,,
3,2020-03-01,2.8,3.1,15.0,11.7,8.4,10,,,
4,2020-03-02,0.1,8.7,13.6,9.7,5.8,29,,,
5,2020-03-03,0.0,1.6,13.8,9.5,5.2,49,,0.0,
6,2020-03-04,0.0,6.9,17.4,14.0,10.7,70,2.0,0.0,
7,2020-03-05,0.6,5.7,16.2,12.4,8.6,90,2.0,1.0,
8,2020-03-06,0.0,9.8,13.0,8.7,4.4,137,2.0,2.0,
9,2020-03-07,0.0,8.2,16.4,10.7,5.0,174,,4.0,
10,2020-03-08,0.0,5.8,16.2,9.1,2.0,202,,8.0,
11,2020-03-09,0.0,9.1,18.4,13.1,7.8,469,53.0,8.0,
12,2020-03-10,0.0,9.5,23.2,14.5,5.8,782,77.0,21.0,
13,2020-03-11,0.0,8.1,24.6,16.3,8.0,1024,102.0,31.0,
14,2020-03-12,0.0,4.5,25.0,17.2,9.4,1388,135.0,56.0,
15,2020-03-13,0.0,10.3,22.2,16.4,10.6,1990,180.0,81.0,
16,2020-03-14,0.0,10.9,22.4,16.0,9.6,2940,,86.0,
17,2020-03-15,9.6,6.2,20.0,14.2,8.4,3544,,213.0,
18,2020-03-16,0.1,4.8,11.0,6.9,2.8,4165,253.0,213.0,
19,2020-03-17,0.2,3.4,17.4,11.4,5.4,4871,340.0,355.0,
20,2020-03-18,0.0,0.3,16.0,12.2,8.4,5637,491.0,390.0,
21,2020-03-19,0.0,6.9,16.6,12.7,8.8,6777,590.0,498.0,
22,2020-03-20,0.0,0.0,13.4,10.8,8.2,7165,678.0,628.0,
23,2020-03-21,1.7,0.0,9.8,8.2,6.6,8921,767.0,804.0,7388.0
24,2020-03-22,,4.7,14.2,10.2,6.2,9702,834.0,1021.0,8441.0
25,2020-03-23,,,,,,10575,942.0,1263.0,9561.0
26,2020-03-24,,,,,,12352,1050.0,1535.0,10443.0
27,2020-03-25,,,,,,14597,1150.0,1825.0,11153.0
28,2020-03-26,,,,,,17166,1221.0,2090.0,12440.0
