,fecha,prec,sol,tmax,tmed,tmin,ncases,uci,fallecidos,hospitalizados
0,2020-02-27,0.0,10.6,21.7,17.2,12.7,0,,,
1,2020-02-28,0.0,10.4,19.7,14.9,10.1,0,,,
2,2020-02-29,0.0,8.8,20.7,16.6,12.6,0,,,
3,2020-03-01,0.0,6.8,19.8,17.3,14.8,0,,,
4,2020-03-02,0.0,5.8,23.8,19.6,15.3,0,,,
5,2020-03-03,0.0,9.5,19.3,17.0,14.7,0,,0.0,
6,2020-03-04,0.0,10.7,21.1,18.4,15.8,0,0.0,0.0,
7,2020-03-05,0.0,9.7,19.8,18.0,16.2,0,0.0,0.0,
8,2020-03-06,0.0,10.8,18.4,16.4,14.4,0,0.0,0.0,
9,2020-03-07,0.0,10.1,19.0,15.8,12.7,0,,0.0,
10,2020-03-08,0.0,10.8,21.3,15.7,10.1,0,,0.0,
11,2020-03-09,0.0,10.8,24.3,18.8,13.3,0,0.0,0.0,
12,2020-03-10,0.0,10.9,22.7,18.6,14.6,0,0.0,0.0,
13,2020-03-11,0.0,11.0,20.9,16.6,12.2,0,0.0,0.0,
14,2020-03-12,0.0,10.2,22.9,19.0,15.0,0,0.0,0.0,
15,2020-03-13,0.0,7.7,21.8,18.1,14.4,2,0.0,0.0,
16,2020-03-14,0.0,6.8,18.6,15.4,12.1,3,,0.0,
17,2020-03-15,0.0,0.0,17.1,15.2,13.3,8,,0.0,
18,2020-03-16,0.0,4.6,19.4,16.2,12.9,8,0.0,0.0,
19,2020-03-17,0.4,2.3,18.2,13.9,9.6,17,0.0,0.0,
20,2020-03-18,0.2,0.0,17.2,16.4,15.5,20,0.0,0.0,
21,2020-03-19,1.2,0.0,16.4,15.3,14.2,23,0.0,0.0,
22,2020-03-20,5.2,0.0,16.0,15.2,14.3,24,1.0,0.0,
23,2020-03-21,0.0,6.1,18.1,15.3,12.5,25,1.0,0.0,8.0
24,2020-03-22,1.2,3.1,16.7,14.0,11.2,25,1.0,0.0,12.0
25,2020-03-23,,,,,,28,1.0,0.0,12.0
26,2020-03-24,,,,,,28,1.0,0.0,12.0
27,2020-03-25,,,,,,38,2.0,0.0,14.0
28,2020-03-26,,,,,,39,2.0,1.0,16.0
