,fecha,prec,sol,tmax,tmed,tmin,ncases,uci,fallecidos,hospitalizados
0,2020-02-27,2.1,0.9,12.5,7.8,3.0,0,,,
1,2020-02-28,0.0,7.5,17.8,11.8,5.7,0,,,
2,2020-02-29,0.6,0.0,15.4,11.0,6.6,0,,,
3,2020-03-01,13.4,4.0,18.1,12.3,6.5,1,,,
4,2020-03-02,3.1,1.0,12.4,7.6,2.8,1,,,
5,2020-03-03,7.0,2.3,15.2,9.2,3.2,1,,0.0,
6,2020-03-04,0.4,1.3,16.2,11.0,5.9,3,1.0,0.0,
7,2020-03-05,5.2,0.7,13.4,8.6,3.9,3,1.0,0.0,
8,2020-03-06,22.0,2.1,7.9,4.6,1.2,3,1.0,0.0,
9,2020-03-07,1.6,0.5,10.9,6.5,2.1,3,,0.0,
10,2020-03-08,0.3,3.3,14.7,7.4,0.2,3,,0.0,
11,2020-03-09,1.2,1.4,11.3,8.2,5.1,3,1.0,0.0,
12,2020-03-10,0.0,8.3,19.0,10.9,2.8,12,2.0,0.0,
13,2020-03-11,0.0,10.7,23.1,12.6,2.1,46,3.0,0.0,
14,2020-03-12,2.1,5.1,17.1,12.5,7.9,73,3.0,0.0,
15,2020-03-13,0.0,1.6,11.5,7.8,4.2,130,4.0,0.0,
16,2020-03-14,0.0,11.3,14.2,7.8,1.4,146,,0.0,
17,2020-03-15,31.9,7.9,21.4,10.2,-1.1,183,,0.0,
18,2020-03-16,6.2,0.0,8.7,6.8,4.8,274,5.0,1.0,
19,2020-03-17,0.0,0.0,12.5,9.4,6.2,313,10.0,2.0,
20,2020-03-18,0.0,2.7,18.2,11.5,4.8,386,10.0,3.0,
21,2020-03-19,0.0,8.5,18.4,11.8,5.2,482,11.0,4.0,
22,2020-03-20,0.0,9.0,17.0,10.2,3.3,554,19.0,5.0,
23,2020-03-21,0.0,9.8,16.6,10.2,3.8,664,25.0,9.0,222.0
24,2020-03-22,2.2,6.6,18.9,10.9,2.9,794,30.0,14.0,288.0
25,2020-03-23,,,,,,886,40.0,24.0,339.0
26,2020-03-24,,,,,,1014,45.0,31.0,405.0
27,2020-03-25,,,,,,1197,51.0,33.0,506.0
28,2020-03-26,,,,,,1411,54.0,49.0,649.0
