,fecha,prec,sol,tmax,tmed,tmin,ncases,uci,fallecidos,hospitalizados
0,2020-02-27,17.2,0.0,14.3,11.0,7.6,0,,,
1,2020-02-28,0.0,5.5,17.0,13.5,10.0,0,,,
2,2020-02-29,6.0,0.0,16.4,12.6,8.8,2,,,
3,2020-03-01,14.6,6.3,16.0,11.8,7.5,3,,,
4,2020-03-02,10.6,0.8,14.5,10.0,5.6,9,,,
5,2020-03-03,12.1,1.7,15.5,10.8,6.0,13,,0.0,
6,2020-03-04,1.0,0.0,15.6,11.8,8.0,17,0.0,0.0,
7,2020-03-05,22.7,0.3,17.0,12.0,7.0,17,0.0,1.0,
8,2020-03-06,25.1,1.5,9.0,6.0,3.0,45,1.0,1.0,
9,2020-03-07,2.3,0.0,10.6,8.6,6.5,45,,1.0,
10,2020-03-08,8.5,1.4,15.0,10.5,6.0,102,,5.0,
11,2020-03-09,0.7,0.0,10.6,9.3,8.0,149,5.0,5.0,
12,2020-03-10,0.0,6.0,12.9,10.2,7.4,195,5.0,6.0,
13,2020-03-11,0.0,9.2,15.4,11.9,8.4,225,15.0,6.0,
14,2020-03-12,4.0,0.0,13.2,11.0,8.8,346,18.0,11.0,
15,2020-03-13,0.0,5.9,11.0,9.4,7.8,417,20.0,14.0,
16,2020-03-14,0.0,9.8,12.3,9.2,6.0,417,,14.0,
17,2020-03-15,62.0,5.9,18.9,13.0,7.2,630,,23.0,
18,2020-03-16,18.1,0.0,10.0,8.8,7.5,630,29.0,23.0,
19,2020-03-17,0.5,0.0,12.3,10.9,9.5,765,33.0,36.0,
20,2020-03-18,0.0,1.2,17.0,13.2,9.5,973,37.0,40.0,
21,2020-03-19,0.0,3.5,21.0,17.2,13.3,1190,44.0,53.0,
22,2020-03-20,0.0,6.0,18.5,16.0,13.4,1465,53.0,71.0,
23,2020-03-21,0.0,8.7,19.3,15.8,12.2,1725,71.0,85.0,654.0
24,2020-03-22,0.0,1.9,13.5,11.8,10.0,2097,81.0,97.0,988.0
25,2020-03-23,,,,,,2421,92.0,120.0,1252.0
26,2020-03-24,,,,,,2728,106.0,133.0,1425.0
27,2020-03-25,,,,,,3271,119.0,155.0,1577.0
28,2020-03-26,,,,,,3946,137.0,180.0,1907.0
