,fecha,prec,sol,tmax,tmed,tmin,ncases
0,2020-02-27,0.0,9.9,18.1,11.0,4.0,0
1,2020-02-28,0.0,9.1,20.7,14.3,7.9,1
2,2020-02-29,0.0,2.0,18.0,12.6,7.3,1
3,2020-03-01,1.2,8.1,21.3,16.6,11.9,0
4,2020-03-02,0.4,3.2,17.4,11.2,4.9,0
5,2020-03-03,2.2,4.2,17.5,10.2,3.0,0
6,2020-03-04,0.0,8.1,20.4,14.3,8.2,0
7,2020-03-05,0.2,3.9,20.2,13.9,7.6,1
8,2020-03-06,2.2,6.5,10.9,8.2,5.6,6
9,2020-03-07,0.0,8.8,15.2,10.6,5.9,11
10,2020-03-08,0.0,8.6,17.5,10.2,3.0,13
11,2020-03-09,0.0,8.3,14.9,12.0,9.2,13
12,2020-03-10,0.0,9.3,21.3,14.8,8.3,38
13,2020-03-11,0.0,11.0,25.3,16.2,7.2,45
14,2020-03-12,0.0,9.1,22.7,15.7,8.7,64
15,2020-03-13,0.0,9.8,18.5,14.0,9.6,80
16,2020-03-14,0.0,11.5,19.3,13.2,7.0,80
17,2020-03-15,14.4,6.3,17.3,10.4,3.6,147
18,2020-03-16,28.8,0.0,12.1,8.4,4.8,174
19,2020-03-17,0.2,0.4,13.3,11.1,8.9,207
20,2020-03-18,0.0,0.3,15.6,11.6,7.6,226
21,2020-03-19,0.0,8.2,17.7,12.4,7.0,281
22,2020-03-20,0.0,5.2,16.7,11.8,6.9,360
23,2020-03-21,0.0,10.2,17.3,11.4,5.4,424
