,fecha,prec,sol,tmax,tmed,tmin,ncases
0,2020-02-27,0.0,8.2,23.5,19.4,15.4,6
1,2020-02-28,0.0,10.9,22.0,17.9,13.8,6
2,2020-02-29,0.0,9.8,24.3,19.8,15.4,6
3,2020-03-01,0.0,7.7,24.8,19.8,14.9,7
4,2020-03-02,0.0,9.9,24.6,20.8,17.0,7
5,2020-03-03,0.0,9.9,25.4,21.0,16.5,7
6,2020-03-04,0.0,11.1,26.9,21.7,16.5,7
7,2020-03-05,0.0,6.0,23.7,19.8,16.0,8
8,2020-03-06,0.0,9.3,23.1,19.8,16.5,11
9,2020-03-07,0.0,10.3,24.3,20.2,16.1,18
10,2020-03-08,0.0,10.7,27.0,21.4,15.7,17
11,2020-03-09,0.0,11.1,27.6,21.5,15.4,22
12,2020-03-10,0.0,11.3,25.0,20.1,15.2,25
13,2020-03-11,0.0,10.7,23.1,17.7,12.3,37
14,2020-03-12,0.0,11.2,26.6,21.0,15.4,51
15,2020-03-13,0.0,8.2,24.0,19.3,14.6,70
16,2020-03-14,0.0,7.5,22.7,18.6,14.5,90
17,2020-03-15,0.0,5.3,22.6,18.2,13.8,109
18,2020-03-16,0.0,4.2,23.0,19.6,16.1,119
19,2020-03-17,0.3,3.7,21.5,17.6,13.8,148
20,2020-03-18,0.8,8.6,21.5,17.6,13.7,181
21,2020-03-19,0.0,10.7,23.1,19.0,14.9,220
22,2020-03-20,0.2,6.3,23.3,19.5,15.7,287
23,2020-03-21,0.0,2.8,21.5,18.4,15.2,348
