,fecha,prec,sol,tmax,tmed,tmin,ncases
0,2020-02-27,0.0,6.5,15.6,9.7,3.8,0
1,2020-02-28,0.0,8.0,18.3,10.7,3.1,2
2,2020-02-29,0.2,1.8,13.1,10.1,7.1,2
3,2020-03-01,12.8,6.5,16.1,11.4,6.8,3
4,2020-03-02,2.2,7.3,10.9,7.6,4.3,3
5,2020-03-03,0.0,5.7,17.8,11.2,4.6,8
6,2020-03-04,0.0,3.7,15.6,13.2,10.8,11
7,2020-03-05,2.0,7.2,14.3,9.7,5.1,11
8,2020-03-06,0.0,9.1,10.8,7.0,3.1,14
9,2020-03-07,0.0,9.3,14.6,7.8,1.0,14
10,2020-03-08,0.0,5.9,14.3,7.7,1.1,22
11,2020-03-09,0.0,9.3,15.2,9.2,3.1,23
12,2020-03-10,0.0,9.6,21.7,12.8,3.8,56
13,2020-03-11,0.0,10.2,24.3,14.7,5.1,71
14,2020-03-12,0.0,3.9,22.1,15.8,9.6,92
15,2020-03-13,0.0,8.9,16.3,10.8,5.4,169
16,2020-03-14,0.0,10.5,18.7,9.8,0.9,223
17,2020-03-15,3.2,9.2,20.5,10.8,1.1,292
18,2020-03-16,7.8,0.0,7.0,4.0,1.0,334
19,2020-03-17,0.0,4.9,16.4,11.4,6.4,431
20,2020-03-18,0.0,1.4,18.0,12.4,6.8,668
21,2020-03-19,0.0,2.6,16.4,11.8,7.3,868
22,2020-03-20,0.0,1.9,16.8,12.0,7.1,1147
23,2020-03-21,3.0,4.2,15.6,10.2,4.8,1466
