,fecha,prec,sol,tmax,tmed,tmin,ncases
0,2020-02-27,0.0,10.4,19.1,10.5,1.9,0
1,2020-02-28,0.0,9.9,20.1,11.8,3.5,0
2,2020-02-29,1.0,6.4,16.4,12.0,7.5,0
3,2020-03-01,6.0,2.2,15.4,12.4,9.4,1
4,2020-03-02,4.0,7.1,15.7,11.2,6.6,3
5,2020-03-03,0.0,1.8,13.3,9.4,5.5,7
6,2020-03-04,0.0,0.1,15.7,13.2,10.6,12
7,2020-03-05,0.0,5.8,15.9,12.0,8.0,13
8,2020-03-06,0.0,7.1,14.5,9.9,5.3,15
9,2020-03-07,0.0,10.0,15.4,9.2,2.9,15
10,2020-03-08,0.0,9.0,19.7,10.8,1.8,15
11,2020-03-09,0.0,10.8,19.1,13.0,6.9,26
12,2020-03-10,0.0,10.8,23.4,14.6,5.8,39
13,2020-03-11,0.0,10.6,27.7,17.1,6.5,71
14,2020-03-12,0.0,10.6,27.1,18.0,8.9,115
15,2020-03-13,0.0,10.5,23.6,17.6,11.7,194
16,2020-03-14,0.0,9.6,22.9,15.5,8.1,289
17,2020-03-15,12.6,7.1,22.8,15.4,8.1,401
18,2020-03-16,0.8,5.4,11.2,7.0,2.8,567
19,2020-03-17,0.0,8.8,18.2,10.2,2.1,567
20,2020-03-18,0.0,5.7,17.0,12.7,8.4,675
21,2020-03-19,0.0,9.4,19.2,12.2,5.3,801
22,2020-03-20,2.8,8.5,19.1,12.9,6.7,1044
23,2020-03-21,3.2,3.1,13.7,10.3,6.9,1423
