,fecha,prec,sol,tmax,tmed,tmin,ncases
0,2020-02-27,0.0,9.5,20.5,13.2,5.9,2
1,2020-02-28,0.0,4.9,17.3,12.8,8.4,3
2,2020-02-29,0.0,4.5,17.5,12.8,8.1,5
3,2020-03-01,0.0,8.9,21.6,15.8,9.9,6
4,2020-03-02,0.6,7.9,16.8,12.8,8.8,15
5,2020-03-03,0.0,5.5,19.3,14.0,8.8,15
6,2020-03-04,0.0,7.2,21.8,16.1,10.4,15
7,2020-03-05,0.3,6.8,23.5,15.6,7.8,24
8,2020-03-06,0.0,9.7,15.8,11.6,7.4,24
9,2020-03-07,0.0,8.6,18.9,12.6,6.2,24
10,2020-03-08,0.0,8.7,19.9,11.8,3.6,49
11,2020-03-09,0.0,11.1,18.2,12.9,7.6,75
12,2020-03-10,0.0,2.2,15.9,10.4,4.8,124
13,2020-03-11,0.0,11.0,19.7,13.2,6.6,156
14,2020-03-12,0.0,10.2,21.6,14.2,6.9,260
15,2020-03-13,0.0,9.4,19.1,13.4,7.7,316
16,2020-03-14,0.0,11.0,21.4,14.6,7.8,509
17,2020-03-15,0.2,1.0,17.3,12.9,8.5,715
18,2020-03-16,18.4,0.0,13.3,12.1,10.9,903
19,2020-03-17,0.1,0.3,18.8,14.8,10.8,1394
20,2020-03-18,0.0,2.9,17.1,12.4,7.6,1866
21,2020-03-19,0.0,8.4,16.5,11.3,6.1,2702
22,2020-03-20,0.0,10.0,16.8,11.6,6.4,3270
23,2020-03-21,0.0,8.6,17.7,11.0,4.2,4203
