,fecha,prec,sol,tmax,tmed,tmin,ncases
0,2020-02-27,0.0,10.1,17.5,12.4,7.3,0
1,2020-02-28,0.0,9.6,20.8,12.6,4.4,0
2,2020-02-29,0.0,0.5,15.1,11.8,8.4,0
3,2020-03-01,7.4,0.3,15.2,12.6,10.1,4
4,2020-03-02,0.0,6.0,14.1,11.0,7.9,6
5,2020-03-03,0.0,3.0,16.8,12.2,7.7,6
6,2020-03-04,0.0,6.5,17.5,14.4,11.3,6
7,2020-03-05,1.4,6.6,15.8,11.8,7.9,6
8,2020-03-06,0.0,10.0,14.7,11.2,7.7,6
9,2020-03-07,0.0,10.3,16.9,11.1,5.3,6
10,2020-03-08,0.0,7.5,16.9,11.4,5.8,6
11,2020-03-09,0.0,10.5,19.4,13.0,6.6,7
12,2020-03-10,0.0,10.9,24.0,15.8,7.7,8
13,2020-03-11,0.0,8.2,24.6,17.0,9.3,9
14,2020-03-12,0.0,10.2,24.8,17.9,11.0,19
15,2020-03-13,0.0,9.9,20.7,15.6,10.5,39
16,2020-03-14,0.0,11.1,22.1,15.5,8.9,66
17,2020-03-15,0.0,9.8,21.1,13.8,6.4,95
18,2020-03-16,1.2,2.0,9.5,6.8,4.1,111
19,2020-03-17,0.0,10.9,17.5,10.6,3.6,153
20,2020-03-18,0.0,8.4,19.2,14.4,9.6,194
21,2020-03-19,4.4,8.8,19.2,13.6,7.9,241
22,2020-03-20,38.6,0.0,13.2,11.4,9.5,297
23,2020-03-21,1.6,4.5,14.2,11.0,7.7,354
