beta,fval,gamma,n,phim,s1,t0,ti,tr
1.3,670.089617512988,0.1,2701743.0,0.11367409749146733,0.005,23.555901042954083,4.5,2.5
1.3,670.7504881239157,0.1,2701743.0,0.09184802570882776,0.0075,24.553160338440556,4.5,2.5
1.3,672.5733417839646,0.1,2701743.0,0.0600204265139095,0.01,26.545645097612457,4.5,2.5
1.3,613.4008993852926,0.1,2701743.0,0.11658896493575668,0.005,22.233384053510846,4.5,2.75
1.3,615.3162269635524,0.1,2701743.0,0.07457629184421141,0.0075,24.226845086609877,4.5,2.75
1.3,616.641505754412,0.1,2701743.0,0.0596775848866812,0.01,25.22225834701939,4.5,2.75
1.3,550.2542116365491,0.1,2701743.0,0.13051662579969062,0.005,20.512839944232457,4.5,3.0
1.3,552.1966302253935,0.1,2701743.0,0.08196904170656044,0.0075,22.50632508951132,4.5,3.0
1.3,553.5590072468204,0.1,2701743.0,0.06499543840679187,0.01,23.50182592136899,4.5,3.0
1.3,490.919891080548,0.1,2701743.0,0.12311693861925022,0.005,19.785307446424,4.5,3.25
1.3,493.19954351706895,0.1,2701743.0,0.07612008882782034,0.0075,21.777497061495254,4.5,3.25
1.3,494.816484991717,0.1,2701743.0,0.05989323486225667,0.01,22.771921274278537,4.5,3.25
1.3,429.7927566896789,0.1,2701743.0,0.12159669253432406,0.005,19.330665528442136,4.5,3.5
1.3,432.50498085279537,0.1,2701743.0,0.0741322409012154,0.0075,21.32205224156443,4.5,3.5
1.3,434.4495041005724,0.1,2701743.0,0.057925302660751146,0.01,22.316017720816404,4.5,3.5
1.3,631.6894763282141,0.1,2701743.0,0.12264159250806134,0.005,24.546446923765316,4.75,2.5
1.3,633.0448796866133,0.1,2701743.0,0.08103071445479665,0.0075,26.540325981520052,4.75,2.5
1.3,633.9616047053805,0.1,2701743.0,0.0658974528649189,0.01,27.536307430818866,4.75,2.5
1.3,575.4844611877829,0.1,2701743.0,0.12368060056380716,0.005,23.221387912579722,4.75,2.75
1.3,577.24397074624,0.1,2701743.0,0.08006798832150862,0.0075,25.21481292500711,4.75,2.75
1.3,578.4515555199705,0.1,2701743.0,0.06445519453667911,0.01,26.21021290827226,4.75,2.75
1.3,513.9169750735979,0.1,2701743.0,0.13602966845096415,0.005,21.523703875544754,4.75,3.0
1.3,515.7150887954238,0.1,2701743.0,0.08648709528996057,0.0075,23.517044041141375,4.75,3.0
1.3,516.9657409398308,0.1,2701743.0,0.06899827476416368,0.01,24.51250626714742,4.75,3.0
1.3,456.7318279715373,0.1,2701743.0,0.12682259983358207,0.005,20.817273402152527,4.75,3.25
1.3,458.8456872738871,0.1,2701743.0,0.0793944200396266,0.0075,22.809264949857976,4.75,3.25
1.3,460.3324370478681,0.1,2701743.0,0.06285721699970283,0.01,23.803612263634008,4.75,3.25
1.3,398.00017260077817,0.1,2701743.0,0.12380935142335127,0.005,20.357123440187692,4.75,3.5
1.3,400.51200027816043,0.1,2701743.0,0.07644027678426336,0.0075,22.348190537672302,4.75,3.5
1.3,402.297584578626,0.1,2701743.0,0.060104886027243946,0.01,23.341870217591588,4.75,3.5
1.3,596.3314603082673,0.1,2701743.0,0.13151031564212895,0.005,25.534456168032982,5.0,2.5
1.3,597.5799631000828,0.1,2701743.0,0.08785545483764767,0.0075,27.528489903040118,5.0,2.5
1.3,599.4405172097478,0.1,2701743.0,0.0587628794731326,0.01,29.519404251215683,5.0,2.5
1.3,540.5379820734539,0.1,2701743.0,0.13051897107524912,0.005,24.207805714431448,5.0,2.75
1.3,542.1582841355637,0.1,2701743.0,0.0854569090632898,0.0075,26.201126855067564,5.0,2.75
1.3,544.3059084174683,0.1,2701743.0,0.06914891768889192,0.01,26.865781445416115,5.0,2.75
1.3,481.22366916783517,0.1,2701743.0,0.1131961106670842,0.005,23.530622515101932,5.0,3.0
1.3,482.1484075279538,0.1,2701743.0,0.09079402087010752,0.0075,24.526906628022154,5.0,3.0
1.3,484.7294849910016,0.1,2701743.0,0.058480445378696386,0.01,26.516440628813736,5.0,3.0
1.3,425.35355346287514,0.1,2701743.0,0.13013931617433888,0.005,21.848987332708244,5.0,3.25
1.3,427.31613680861085,0.1,2701743.0,0.08243381347795577,0.0075,23.8406765487673,5.0,3.25
1.3,428.6855147591505,0.1,2701743.0,0.06564647754307824,0.01,24.83487219733123,5.0,3.25
1.3,369.0863069647414,0.1,2701743.0,0.12563747095822253,0.005,21.383491362304405,5.0,3.5
1.3,371.4126064761019,0.1,2701743.0,0.07849838000242912,0.0075,23.374272945033262,5.0,3.5
1.3,373.0530566151287,0.1,2701743.0,0.062089571988055786,0.01,24.367710584801124,5.0,3.5
1.3,563.9799480280368,0.1,2701743.0,0.14024344281523599,0.005,26.52003908225511,5.25,2.5
1.3,565.1335313974984,0.1,2701743.0,0.09467085251234279,0.0075,28.514009669155584,5.25,2.5
1.3,566.8359317506247,0.1,2701743.0,0.06397678970723614,0.01,30.50511160085975,5.25,2.5
1.3,508.5284214733156,0.1,2701743.0,0.13708081441411557,0.005,25.192599830274226,5.25,2.75
1.3,510.0234273470149,0.1,2701743.0,0.09071983743462184,0.0075,27.18589830119467,5.25,2.75
1.3,512.2731256354614,0.1,2701743.0,0.06011103556678374,0.01,29.175762972768847,5.25,2.75
1.3,450.60913809118136,0.1,2701743.0,0.11764506393124362,0.005,24.539512939049718,5.25,3.0
1.3,452.5263085040531,0.1,2701743.0,0.07654436819282888,0.0075,26.530994747316797,5.25,3.0
1.3,453.8380338379656,0.1,2701743.0,0.06177747881323058,0.01,27.525189012614913,5.25,3.0
1.3,396.75283920197575,0.1,2701743.0,0.13308401710483686,0.005,22.880172719022532,5.25,3.25
1.3,398.57671522605574,0.1,2701743.0,0.08523993062058899,0.0075,24.87159738522979,5.25,3.25
1.3,399.83971997363415,0.1,2701743.0,0.06825585770127529,0.01,25.86576446115632,5.25,3.25
1.3,342.99214745191193,0.1,2701743.0,0.12710645664928297,0.005,22.409701377457264,5.25,3.5
1.3,345.14600947734203,0.1,2701743.0,0.08031680518383597,0.0075,24.400115143698052,5.25,3.5
1.3,346.6533438454637,0.1,2701743.0,0.0638843531848341,0.01,25.39339290800897,5.25,3.5
1.3,535.0649841401162,0.1,2701743.0,0.12285088518822157,0.005,28.50040789962364,5.5,2.5
1.3,536.3574040157883,0.1,2701743.0,0.08378824285670028,0.0075,30.493119795756947,5.5,2.5
1.3,537.2123433668189,0.1,2701743.0,0.06922635310789785,0.01,31.488253817092826,5.5,2.5
1.3,479.40641281508556,0.1,2701743.0,0.14335387194863386,0.005,26.17579337441418,5.5,2.75
1.3,480.78790125195627,0.1,2701743.0,0.09583776658784282,0.0075,28.16906828968251,5.5,2.75
1.3,482.84696142181497,0.1,2701743.0,0.06414237547155865,0.01,30.15891724186197,5.5,2.75
1.3,422.82633941681576,0.1,2701743.0,0.12179679742041837,0.005,25.547362462397686,5.5,3.0
1.3,424.5997251783404,0.1,2701743.0,0.08006889949860069,0.0075,27.53864864215508,5.5,3.0
1.3,425.80458935010324,0.1,2701743.0,0.06495269789397315,0.01,28.53273568959511,5.5,3.0
1.3,370.81483478896905,0.1,2701743.0,0.13566304851644528,0.005,24.093202058658576,5.5,3.25
1.3,372.6414682559816,0.1,2701743.0,0.08780710478471376,0.0075,26.08497539282905,5.5,3.25
1.3,373.7449192706196,0.1,2701743.0,0.07068655473758488,0.01,26.89596059473719,5.5,3.25
1.3,319.64562051298907,0.1,2701743.0,0.1282447256386537,0.005,23.435634538113767,5.5,3.5
1.3,321.6387350499544,0.1,2701743.0,0.08190486675678318,0.0075,25.4256633658161,5.5,3.5
1.3,323.02354832832685,0.1,2701743.0,0.06549467726164684,0.01,26.4187292680465,5.5,3.5
1.3,435.3365048232802,0.15,2701743.0,0.10759914491327607,0.005,24.262352780070913,4.5,2.5
1.3,436.674115467468,0.15,2701743.0,0.08695817300402678,0.0075,25.25775199909579,4.5,2.5
1.3,440.36449947238225,0.15,2701743.0,0.05686136054206749,0.01,27.24500983289979,4.5,2.5
1.3,354.90327833678845,0.15,2701743.0,0.1085247039629324,0.005,22.697069502938128,4.5,2.75
1.3,358.09484586860515,0.15,2701743.0,0.0694795743001321,0.0075,24.684414981958298,4.5,2.75
1.3,360.3062200018779,0.15,2701743.0,0.05563402515348975,0.01,25.67584772812767,4.5,2.75
1.3,281.69834030902297,0.15,2701743.0,0.11860848642260696,0.005,21.32330191298669,4.5,3.0
1.3,284.82582022182476,0.15,2701743.0,0.07457428399367744,0.0075,23.310227349423144,4.5,3.0
1.3,287.0278104815317,0.15,2701743.0,0.0591776493283581,0.01,24.30113220006088,4.5,3.0
1.3,220.96233501605764,0.15,2701743.0,0.10883002481302183,0.005,20.776003628353656,4.5,3.25
1.3,224.04810342595965,0.15,2701743.0,0.06740296439790847,0.0075,22.757590868903424,4.5,3.25
1.3,226.25660029163043,0.15,2701743.0,0.05309857784787837,0.01,23.744689073039794,4.5,3.25
1.3,173.60715925664934,0.15,2701743.0,0.1038504050942617,0.005,20.401214294429003,4.5,3.5
1.3,176.30496943934165,0.15,2701743.0,0.0634710375591323,0.0075,22.379320385300886,4.5,3.5
1.3,178.27929902367782,0.15,2701743.0,0.04968078522589797,0.01,23.363850910771163,4.5,3.5
1.3,404.081249274041,0.15,2701743.0,0.11566713876982715,0.005,25.252335043028708,4.75,2.5
1.3,406.7052832148743,0.15,2701743.0,0.07646187095764062,0.0075,27.242140922962626,4.75,2.5
1.3,408.48080794544177,0.15,2701743.0,0.062202255452068415,0.01,28.235265842699974,4.75,2.5
1.3,327.11303653164117,0.15,2701743.0,0.11462205562700868,0.005,23.721245959874526,4.75,2.75
1.3,329.91396646458577,0.15,2701743.0,0.07426787530404683,0.0075,25.708719470644848,4.75,2.75
1.3,331.83957716242736,0.15,2701743.0,0.05982163979851826,0.01,26.700139039605418,4.75,2.75
1.3,258.5201249050775,0.15,2701743.0,0.1230151661601322,0.005,22.350155358765015,4.75,3.0
1.3,261.2389658371996,0.15,2701743.0,0.0782984898451822,0.0075,24.3370179360086,4.75,3.0
1.3,263.13822614043704,0.15,2701743.0,0.06251263001402604,0.01,25.327738762324294,4.75,3.0
1.3,203.48931244838434,0.15,2701743.0,0.11148929689619193,0.005,21.83407601688342,4.75,3.25
1.3,206.12340524404894,0.15,2701743.0,0.06991371250085163,0.0075,23.81527601718915,4.75,3.25
1.3,207.99472718535498,0.15,2701743.0,0.05541664848580978,0.01,24.802280350653053,4.75,3.25
1.3,162.14771390726122,0.15,2701743.0,0.10511210113081253,0.005,21.456216379306007,4.75,3.5
1.3,164.33318957905107,0.15,2701743.0,0.06505593048661332,0.0075,23.433871827591755,4.75,3.5
1.3,165.9243954167015,0.15,2701743.0,0.05124038136479302,0.01,24.41812977000204,4.75,3.5
1.3,376.6114558469548,0.15,2701743.0,0.12358647735297598,0.005,26.2404410251186,5.0,2.5
1.3,378.91850687804725,0.15,2701743.0,0.08260343371233472,0.0075,28.23036013063052,5.0,2.5
1.3,382.3595686066449,0.15,2701743.0,0.05529042820265828,0.01,30.2152314315987,5.0,2.5
1.3,302.99355063771924,0.15,2701743.0,0.12043787110342268,0.005,24.74420248732347,5.0,2.75
1.3,305.45344178528893,0.15,2701743.0,0.07892396757643413,0.0075,26.731664165909987,5.0,2.75
1.3,307.132081591889,0.15,2701743.0,0.06392864466014134,0.01,27.72319222938825,5.0,2.75
1.3,239.9787843411432,0.15,2701743.0,0.10192153422700104,0.005,24.37034761044385,5.0,3.0
1.3,241.2884309096352,0.15,2701743.0,0.08180153864872323,0.0075,25.36292663630651,5.0,3.0
1.3,244.96562901460126,0.15,2701743.0,0.05277511573987482,0.01,27.34224131496037,5.0,3.0
1.3,189.2578917568289,0.15,2701743.0,0.11379561131634891,0.005,22.891431008786547,5.0,3.25
1.3,191.49474339220922,0.15,2701743.0,0.07220051272190708,0.0075,24.872423845297376,5.0,3.25
1.3,193.07303263052293,0.15,2701743.0,0.05756288357936966,0.01,25.8591720101696,5.0,3.25
